Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1,Bam Adebayo,C,25,MIA,23,23,850,10.0,20.7,.481,0.0,0.2,.000,10.0,20.5,.485,4.7,5.7,.821,3.8,9.8,13.6,5.1,1.1,0.9,3.7,4.2,24.6,,107,111
2,Santi Aldama,PF,22,MEM,6,0,101,7.2,15.8,.455,3.4,7.2,.467,3.8,8.6,.444,1.0,1.0,1.000,3.4,9.1,12.5,3.4,1.4,0.0,1.0,2.4,18.7,,123,111
3,Nickeil Alexander-Walker,SG,24,MIN,5,4,148,5.2,12.1,.429,3.4,8.6,.400,1.7,3.4,.500,0.7,1.0,.667,0.3,3.1,3.4,2.4,1.0,0.3,1.4,3.1,14.5,,108,123
4,Grayson Allen,SG,27,MIL,5,5,149,6.0,12.9,.463,4.4,9.1,.483,1.6,3.8,.417,1.9,2.2,.857,0.3,3.5,3.8,2.8,0.6,0.0,1.3,2.2,18.3,,126,123
5,Jarrett Allen,C,24,CLE,5,5,191,6.1,9.9,.611,0.0,0.0,,6.1,9.9,.611,0.8,1.7,.500,4.1,6.1,10.2,3.3,1.1,1.4,0.8,2.8,13.0,,132,110
6,Kyle Anderson,PF,29,MIN,4,0,104,7.4,14.7,.500,1.0,2.9,.333,6.4,11.8,.542,1.0,1.0,1.000,1.5,6.4,7.8,8.8,3.4,1.0,2.9,6.4,16.7,,111,114
7,Giannis Antetokounmpo,PF,28,MIL,3,3,91,14.5,27.4,.528,0.0,1.5,.000,14.5,25.8,.560,7.2,16.0,.452,4.1,12.9,17.0,8.3,0.5,1.0,7.2,4.6,36.2,,99,118
8,Thanasis Antetokounmpo,PF,30,MIL,2,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,126
9,Deandre Ayton,C,24,PHO,10,10,319,9.4,17.1,.550,0.0,0.0,,9.4,17.1,.550,1.9,3.5,.522,4.5,10.5,15.0,1.5,0.9,1.1,2.6,5.4,20.7,,108,118
10,Patrick Baldwin Jr.,SF,20,GSW,3,0,11,0.0,13.0,.000,0.0,13.0,.000,0.0,0.0,,0.0,0.0,,0.0,13.0,13.0,4.3,0.0,0.0,0.0,0.0,0.0,,24,113
11,Mo Bamba,C,24,LAL,3,0,10,0.0,9.8,.000,0.0,4.9,.000,0.0,4.9,.000,0.0,0.0,,0.0,14.7,14.7,4.9,0.0,4.9,0.0,0.0,0.0,,31,105
12,Desmond Bane,SG,24,MEM,6,6,231,10.3,24.4,.422,3.4,10.5,.320,6.9,13.9,.500,5.7,6.1,.931,1.5,6.1,7.6,4.0,0.6,0.0,3.6,4.0,29.6,,106,114
13,Harrison Barnes,PF,30,SAC,7,7,196,6.0,14.3,.417,1.4,6.0,.240,4.5,8.3,.543,4.5,6.2,.731,2.4,3.3,5.7,1.2,1.9,0.5,0.7,1.2,17.9,,117,115
14,RJ Barrett,SG,22,NYK,11,11,377,9.8,22.7,.433,2.8,8.4,.328,7.1,14.3,.495,6.9,9.0,.769,0.7,6.1,6.8,4.3,1.2,0.3,3.5,3.5,29.4,,110,111
15,Nicolas Batum,PF,34,LAC,5,3,92,4.2,10.0,.421,3.2,9.0,.353,1.1,1.1,1.000,0.0,0.0,,0.5,5.3,5.8,3.2,1.1,1.1,1.1,5.3,11.6,,119,125
16,Malik Beasley,SG,26,LAL,11,0,91,5.4,18.3,.294,3.8,14.0,.269,1.6,4.3,.375,3.2,3.2,1.000,1.6,2.7,4.3,1.1,0.5,0.0,1.1,3.2,17.7,,95,118
17,MarJon Beauchamp,SF,22,MIL,2,0,5,18.8,28.2,.667,9.4,9.4,1.000,9.4,18.8,.500,0.0,0.0,,0.0,9.4,9.4,0.0,0.0,0.0,0.0,0.0,47.0,,148,122
18,Saddiq Bey,SF,23,ATL,6,0,133,5.4,14.3,.375,2.5,6.5,.389,2.9,7.9,.364,2.9,3.2,.889,2.5,6.1,8.6,2.2,1.1,0.0,0.7,1.1,16.1,,115,123
19,Bismack Biyombo,C,30,PHO,8,0,78,5.7,10.1,.563,0.0,0.0,,5.7,10.1,.563,5.7,11.4,.500,6.3,10.7,17.0,3.8,0.0,6.3,3.8,11.4,17.0,,112,114
20,Bogdan BogdanoviÄ,SG,30,ATL,6,1,157,9.1,16.4,.556,4.6,10.0,.455,4.6,6.4,.714,1.5,2.1,.714,0.6,4.9,5.5,4.6,1.8,1.5,0.9,4.9,24.3,,141,120
21,Devin Booker,SG,26,PHO,11,11,459,15.1,25.8,.585,3.3,6.5,.508,11.8,19.3,.611,6.2,7.2,.866,1.3,4.4,5.7,8.5,2.0,1.0,3.4,4.0,39.8,,132,119
22,Brandon Boston Jr.,SF,21,LAC,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.6,0.0,0.0,,0,131
23,Christian Braun,SG,21,DEN,19,0,247,4.9,9.3,.533,0.4,2.1,.200,4.5,7.2,.629,2.3,3.9,.579,2.5,5.6,8.0,2.3,2.3,0.8,2.1,6.0,12.6,,111,110
24,Mikal Bridges,SG,26,BRK,4,4,157,11.2,26.2,.429,3.4,8.5,.400,7.8,17.7,.442,6.1,7.8,.783,0.7,6.5,7.2,5.5,0.7,0.7,2.7,1.7,32.0,,104,118
25,Malcolm Brogdon,PG,30,BOS,19,0,474,8.7,20.9,.418,3.5,9.3,.379,5.2,11.6,.450,3.1,3.7,.829,1.4,5.6,7.0,5.9,0.3,0.5,2.0,3.1,24.1,,113,118
26,Dillon Brooks,SF,27,MEM,6,6,167,7.0,22.4,.312,2.9,12.2,.238,4.1,10.2,.400,1.5,2.0,.714,0.9,4.4,5.2,3.2,0.3,0.0,2.0,5.8,18.3,,84,116
27,Bruce Brown,SF,26,DEN,20,0,530,8.6,16.9,.511,1.7,5.5,.316,6.9,11.4,.605,4.0,4.7,.857,1.4,6.2,7.7,3.6,2.0,0.9,2.2,4.7,23.0,,119,110
