Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Bam Adebayo,C,25,MIA,23,23,850,167,347,.481,0,3,.000,167,344,.485,.481,78,95,.821,63,164,227,85,19,15,62,71,412
2,Santi Aldama,PF,22,MEM,6,0,101,15,33,.455,7,15,.467,8,18,.444,.561,2,2,1.000,7,19,26,7,3,0,2,5,39
3,Nickeil Alexander-Walker,SG,24,MIN,5,4,148,15,35,.429,10,25,.400,5,10,.500,.571,2,3,.667,1,9,10,7,3,1,4,9,42
4,Grayson Allen,SG,27,MIL,5,5,149,19,41,.463,14,29,.483,5,12,.417,.634,6,7,.857,1,11,12,9,2,0,4,7,58
5,Jarrett Allen,C,24,CLE,5,5,191,22,36,.611,0,0,,22,36,.611,.611,3,6,.500,15,22,37,12,4,5,3,10,47
6,Kyle Anderson,PF,29,MIN,4,0,104,15,30,.500,2,6,.333,13,24,.542,.533,2,2,1.000,3,13,16,18,7,2,6,13,34
7,Giannis Antetokounmpo,PF,28,MIL,3,3,91,28,53,.528,0,3,.000,28,50,.560,.528,14,31,.452,8,25,33,16,1,2,14,9,70
8,Thanasis Antetokounmpo,PF,30,MIL,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
9,Deandre Ayton,C,24,PHO,10,10,319,61,111,.550,0,0,,61,111,.550,.550,12,23,.522,29,68,97,10,6,7,17,35,134
10,Patrick Baldwin Jr.,SF,20,GSW,3,0,11,0,3,.000,0,3,.000,0,0,,.000,0,0,,0,3,3,1,0,0,0,0,0
11,Mo Bamba,C,24,LAL,3,0,10,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,3,3,1,0,1,0,0,0
12,Desmond Bane,SG,24,MEM,6,6,231,49,116,.422,16,50,.320,33,66,.500,.491,27,29,.931,7,29,36,19,3,0,17,19,141
13,Harrison Barnes,PF,30,SAC,7,7,196,25,60,.417,6,25,.240,19,35,.543,.467,19,26,.731,10,14,24,5,8,2,3,5,75
14,RJ Barrett,SG,22,NYK,11,11,377,71,164,.433,20,61,.328,51,103,.495,.494,50,65,.769,5,44,49,31,9,2,25,25,212
15,Nicolas Batum,PF,34,LAC,5,3,92,8,19,.421,6,17,.353,2,2,1.000,.579,0,0,,1,10,11,6,2,2,2,10,22
16,Malik Beasley,SG,26,LAL,11,0,91,10,34,.294,7,26,.269,3,8,.375,.397,6,6,1.000,3,5,8,2,1,0,2,6,33
17,MarJon Beauchamp,SF,22,MIL,2,0,5,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,1,1,0,0,0,0,0,5
18,Saddiq Bey,SF,23,ATL,6,0,133,15,40,.375,7,18,.389,8,22,.364,.463,8,9,.889,7,17,24,6,3,0,2,3,45
19,Bismack Biyombo,C,30,PHO,8,0,78,9,16,.563,0,0,,9,16,.563,.563,9,18,.500,10,17,27,6,0,10,6,18,27
20,Bogdan BogdanoviÄ,SG,30,ATL,6,1,157,30,54,.556,15,33,.455,15,21,.714,.694,5,7,.714,2,16,18,15,6,5,3,16,80
21,Devin Booker,SG,26,PHO,11,11,459,141,241,.585,31,61,.508,110,180,.611,.649,58,67,.866,12,41,53,79,19,9,32,37,371
22,Brandon Boston Jr.,SF,21,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
23,Christian Braun,SG,21,DEN,19,0,247,24,45,.533,2,10,.200,22,35,.629,.556,11,19,.579,12,27,39,11,11,4,10,29,61
24,Mikal Bridges,SG,26,BRK,4,4,157,33,77,.429,10,25,.400,23,52,.442,.494,18,23,.783,2,19,21,16,2,2,8,5,94
25,Malcolm Brogdon,PG,30,BOS,19,0,474,82,196,.418,33,87,.379,49,109,.450,.503,29,35,.829,13,53,66,55,3,5,19,29,226
26,Dillon Brooks,SF,27,MEM,6,6,167,24,77,.312,10,42,.238,14,35,.400,.377,5,7,.714,3,15,18,11,1,0,7,20,63
27,Bruce Brown,SF,26,DEN,20,0,530,90,176,.511,18,57,.316,72,119,.605,.563,42,49,.857,15,65,80,38,21,9,23,49,240
28,Jaylen Brown,SF,26,BOS,20,20,751,181,365,.496,40,113,.354,141,252,.560,.551,51,74,.689,25,87,112,68,21,8,66,61,453
29,Troy Brown Jr.,SF,23,LAL,12,0,124,10,28,.357,2,15,.133,8,13,.615,.393,0,0,,4,20,24,11,2,1,0,4,22
30,Jalen Brunson,PG,26,NYK,11,11,443,109,230,.474,26,80,.325,83,150,.553,.530,62,68,.912,9,45,54,62,16,1,23,26,306
31,Thomas Bryant,C,25,DEN,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
32,Jimmy Butler,PF,33,MIA,22,22,874,207,442,.468,28,78,.359,179,364,.492,.500,150,186,.806,47,95,142,129,40,14,41,37,592
33,Kentavious Caldwell-Pope,SG,29,DEN,20,20,671,74,162,.457,35,92,.380,39,70,.557,.565,29,35,.829,14,51,65,31,26,13,15,48,212
34,Vlatko ÄanÄar,PF,25,DEN,5,0,10,0,5,.000,0,4,.000,0,1,.000,.000,0,0,,0,3,3,1,0,0,0,0,0
35,Clint Capela,C,28,ATL,6,6,151,23,38,.605,0,0,,23,38,.605,.605,4,6,.667,15,35,50,3,6,3,4,5,50
36,Jevon Carter,PG,27,MIL,4,0,49,2,9,.222,1,7,.143,1,2,.500,.278,0,0,,0,4,4,4,1,0,0,1,5
37,Justin Champagnie,SF,21,BOS,4,0,10,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,0,0,0,0,0,0,0,2,2
38,Max Christie,SG,19,LAL,9,0,33,5,10,.500,1,4,.250,4,6,.667,.550,2,4,.500,1,6,7,3,0,1,0,0,13
39,Nic Claxton,C,23,BRK,4,4,117,18,25,.720,0,0,,18,25,.720,.720,6,10,.600,5,27,32,6,1,7,3,8,42
40,Amir Coffey,SF,25,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
41,John Collins,PF,25,ATL,6,6,164,26,60,.433,11,32,.344,15,28,.536,.525,5,6,.833,7,19,26,5,2,6,9,13,68
42,Mike Conley,PG,35,MIN,5,5,183,20,42,.476,10,22,.455,10,20,.500,.595,10,11,.909,2,11,13,32,3,0,7,11,60
43,Pat Connaughton,SF,30,MIL,4,0,88,17,30,.567,11,23,.478,6,7,.857,.750,3,4,.750,4,16,20,7,4,1,2,10,48
44,Robert Covington,PF,32,LAC,2,0,12,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,2,2,2,0,1,0,2,0
45,Torrey Craig,PF,32,PHO,11,5,183,26,45,.578,11,25,.440,15,20,.750,.700,8,9,.889,7,18,25,6,5,2,3,23,71
46,Jae Crowder,PF,32,MIL,4,0,41,3,13,.231,0,6,.000,3,7,.429,.231,1,2,.500,1,3,4,3,2,0,1,5,7
47,Seth Curry,SG,32,BRK,3,0,58,10,19,.526,3,9,.333,7,10,.700,.605,2,3,.667,0,3,3,6,0,0,1,2,25
48,Stephen Curry,PG,34,GSW,13,13,493,145,311,.466,57,157,.363,88,154,.571,.558,49,58,.845,9,58,67,79,13,6,42,34,396
49,Anthony Davis,C,29,LAL,16,16,608,132,254,.520,5,15,.333,127,239,.531,.530,92,108,.852,38,187,225,41,22,50,34,46,361
50,Terence Davis,SG,25,SAC,4,0,58,8,20,.400,6,17,.353,2,3,.667,.550,2,2,1.000,2,7,9,6,1,0,2,12,24
51,Dewayne Dedmon,C,33,PHI,1,0,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,1,1,0
52,Spencer Dinwiddie,PG,29,BRK,4,4,159,22,51,.431,7,18,.389,15,33,.455,.500,15,22,.682,1,12,13,26,5,1,12,7,66
53,Donte DiVincenzo,SG,26,GSW,13,1,235,24,64,.375,15,44,.341,9,20,.450,.492,8,12,.667,11,28,39,36,11,3,17,20,71
54,PJ Dozier,SF,26,SAC,3,0,6,3,6,.500,2,4,.500,1,2,.500,.667,0,0,,1,1,2,0,0,0,0,0,8
55,Goran DragiÄ,PG,36,MIL,2,0,7,0,2,.000,0,1,.000,0,1,.000,.000,4,4,1.000,0,0,0,1,0,0,0,0,4
56,David Duke Jr.,SG,23,BRK,1,0,5,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,0,0,0,0,0,1,1,2
57,Kevin Durant,PF,34,PHO,11,11,466,107,224,.478,17,51,.333,90,173,.520,.516,88,96,.917,7,89,96,61,9,15,39,29,319
58,Anthony Edwards,SG,21,MIN,5,5,199,55,114,.482,15,43,.349,40,71,.563,.548,33,39,.846,3,22,25,26,9,10,8,13,158
59,Kessler Edwards,SF,22,SAC,6,0,7,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
60,Joel Embiid,C,28,PHI,9,9,336,66,153,.431,5,28,.179,61,125,.488,.448,76,84,.905,16,72,88,24,6,25,35,27,213
61,Dorian Finney-Smith,PF,29,BRK,4,4,101,9,23,.391,7,17,.412,2,6,.333,.543,0,0,,6,12,18,3,3,2,5,7,25
62,De'Aaron Fox,PG,25,SAC,7,7,270,70,165,.424,21,63,.333,49,102,.480,.488,31,41,.756,12,26,38,54,15,4,28,23,192
63,Wenyen Gabriel,C,25,LAL,10,0,37,4,10,.400,0,0,,4,10,.400,.400,2,3,.667,8,1,9,0,2,3,2,8,10
64,Darius Garland,PG,23,CLE,5,5,189,35,80,.438,12,31,.387,23,49,.469,.513,21,25,.840,0,9,9,25,8,1,18,17,103
65,Rudy Gobert,C,30,MIN,5,5,177,29,46,.630,0,0,,29,46,.630,.630,17,27,.630,18,43,61,10,2,5,8,24,75
66,Aaron Gordon,PF,27,DEN,20,20,713,101,195,.518,18,46,.391,83,149,.557,.564,45,69,.652,49,71,120,52,11,13,20,58,265
67,Eric Gordon,SG,34,LAC,5,5,149,18,44,.409,10,29,.345,8,15,.533,.523,5,6,.833,1,6,7,13,3,2,4,12,51
68,Danny Green,SG,35,CLE,4,0,40,1,5,.200,1,4,.250,0,1,.000,.300,0,0,,2,5,7,1,2,1,2,7,3
69,Draymond Green,PF,32,GSW,12,9,367,42,91,.462,5,20,.250,37,71,.521,.489,24,33,.727,19,64,83,82,18,12,27,48,113
70,JaMychal Green,PF,32,GSW,7,2,49,9,23,.391,5,18,.278,4,5,.800,.500,0,0,,0,5,5,3,0,1,2,10,23
71,Jeff Green,PF,36,DEN,20,0,343,28,62,.452,9,28,.321,19,34,.559,.524,17,19,.895,6,25,31,14,5,7,9,43,82
72,Blake Griffin,C,33,BOS,1,0,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,1,2,0,0,0,0,2,0
73,Quentin Grimes,SG,22,NYK,9,6,242,14,46,.304,9,37,.243,5,9,.556,.402,9,11,.818,3,22,25,13,9,5,10,17,46
74,Rui Hachimura,PF,24,LAL,16,1,388,73,131,.557,19,39,.487,54,92,.587,.630,30,34,.882,9,49,58,10,8,4,10,25,195
75,James Harden,PG,33,PHI,11,11,427,72,183,.393,31,82,.378,41,101,.406,.478,48,55,.873,6,62,68,91,20,4,35,28,223
76,Montrezl Harrell,C,29,PHI,2,0,7,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
77,Joe Harris,SF,31,BRK,4,0,44,2,13,.154,1,12,.083,1,1,1.000,.192,2,2,1.000,0,5,5,0,2,0,3,5,7
78,Tobias Harris,SF,30,PHI,11,11,392,70,134,.522,15,41,.366,55,93,.591,.578,13,15,.867,17,63,80,18,7,6,8,28,168
79,Shaquille Harrison,SG,29,LAL,8,0,28,4,7,.571,1,1,1.000,3,6,.500,.643,1,2,.500,0,3,3,9,2,0,0,3,10
80,Josh Hart,SF,27,NYK,11,5,353,45,94,.479,10,32,.313,35,62,.565,.532,14,22,.636,18,63,81,24,9,3,21,38,114
81,Isaiah Hartenstein,C,24,NYK,11,0,220,11,23,.478,0,0,,11,23,.478,.478,12,16,.750,23,28,51,14,9,15,5,29,34
82,Udonis Haslem,C,42,MIA,2,0,3,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
