Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Mikal Bridges,25.0,PHO,SF,82.0,82.0,2854.0,5.8,10.8,0.534,1.5,3.9,0.369,4.3,6.9,0.628,0.601,1.7,2.0,0.834,0.9,3.4,4.4,2.3,1.2,0.5,0.9,1.9,14.7,"DPOY-2,DEF1"
2.0,Miles Bridges,23.0,CHO,PF,80.0,80.0,2837.0,7.6,15.4,0.491,2.0,5.9,0.331,5.6,9.5,0.59,0.554,3.4,4.2,0.802,1.1,6.0,7.1,3.8,0.9,0.9,1.9,2.4,20.5,
3.0,DeMar DeRozan,32.0,CHI,PF,76.0,76.0,2743.0,10.2,20.1,0.504,0.7,1.9,0.352,9.5,18.3,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.1,4.9,0.9,0.3,2.4,2.3,27.8,"MVP-10,AS,NBA2"
4.0,Jayson Tatum,23.0,BOS,SF,76.0,76.0,2731.0,9.3,20.6,0.453,3.0,8.6,0.353,6.3,12.0,0.524,0.526,5.3,6.2,0.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,2.3,27.0,"MVP-6,AS,NBA1"
5.0,Saddiq Bey,22.0,DET,SF,82.0,82.0,2704.0,6.0,15.1,0.396,2.8,8.1,0.346,3.2,7.0,0.454,0.489,2.8,3.4,0.827,1.4,4.4,5.9,3.1,1.0,0.2,1.3,1.7,17.6,
6.0,Tyrese Haliburton,21.0,2TM,PG,77.0,77.0,2695.0,5.7,12.1,0.473,2.2,5.2,0.414,3.6,6.9,0.517,0.562,2.1,2.5,0.842,0.8,3.3,4.2,8.4,1.8,0.7,2.7,1.6,15.8,
6.0,Tyrese Haliburton,21.0,SAC,SG,51.0,51.0,1757.0,5.5,12.0,0.457,2.1,5.2,0.413,3.4,6.8,0.491,0.546,1.8,2.1,0.837,0.8,3.3,4.1,7.8,1.8,0.7,2.4,1.5,14.9,
6.0,Tyrese Haliburton,21.0,IND,PG,26.0,26.0,938.0,6.2,12.4,0.502,2.2,5.3,0.416,4.0,7.1,0.565,0.59,2.8,3.3,0.849,0.8,3.5,4.3,9.6,1.8,0.6,3.2,1.9,17.4,
7.0,Russell Westbrook,33.0,LAL,PG,78.0,78.0,2678.0,7.4,16.6,0.444,1.1,3.6,0.298,6.3,13.0,0.485,0.476,3.6,5.4,0.667,1.5,6.3,7.8,7.4,1.0,0.3,4.0,3.2,19.4,
8.0,Trae Young,23.0,ATL,PG,76.0,76.0,2652.0,9.7,21.0,0.46,3.2,8.3,0.382,6.5,12.7,0.512,0.536,6.8,7.5,0.904,0.7,3.2,3.9,10.0,1.0,0.1,4.1,1.7,29.3,"AS,NBA3"
