Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Santi Aldama,"Oct 27, '21, MEM @ POR",21,5,250,5704,933,2032,346,1010,268,392,308,1328,481,162,150,235,366,2480,.459,.343,.684,22.8,9.9,5.3,1.9,0.6,0.6
2,Jose Alvarado,"Nov 3, '21, NOP @ SAC",23,5,240,4796,712,1730,324,924,207,272,111,536,746,284,46,261,399,1955,.412,.351,.761,20.0,8.1,2.2,3.1,1.2,0.2
3,Joel Ayayi,"Oct 25, '21, WAS @ BRK",21,1,7,20,1,6,0,1,0,0,1,3,4,0,0,0,0,2,.167,.000,,2.9,0.3,0.4,0.6,0.0,0.0
4,Dalano Banton,"Oct 20, '21, TOR vs. WAS",22,4,216,3142,538,1339,159,523,228,313,120,482,422,117,77,234,224,1463,.402,.304,.728,14.5,6.8,2.2,2.0,0.5,0.4
5,Cat Barber,"Dec 25, '21, ATL @ NYK",27,1,3,13,0,4,0,0,0,4,1,3,3,0,0,1,1,0,.000,,.000,4.3,0.0,1.0,1.0,0.0,0.0
6,Scottie Barnes,"Oct 20, '21, TOR vs. WAS",20,5,290,9978,1949,4164,319,1045,811,1062,651,2173,1442,351,292,666,640,5028,.468,.305,.764,34.4,17.3,7.5,5.0,1.2,1.0
7,Paris Bass,"Jan 2, '22, PHO @ CHO",26,1,2,7,2,6,0,2,2,2,2,4,0,1,0,2,2,6,.333,.000,1.000,3.5,3.0,2.0,0.0,0.5,0.0
8,Charles Bassey,"Oct 20, '21, PHI @ NOP",21,5,115,1288,217,347,3,13,58,91,183,498,95,44,98,88,192,495,.625,.231,.637,11.2,4.3,4.3,0.8,0.4,0.9
9,Leandro Bolmaro,"Oct 20, '21, MIN vs. HOU",21,2,49,309,20,74,5,22,11,13,20,50,28,9,1,20,36,56,.270,.227,.846,6.3,1.1,1.0,0.6,0.2,0.0
10,Brandon Boston Jr.,"Oct 25, '21, LAC vs. POR",20,4,147,2346,407,989,109,332,178,228,71,327,176,99,30,119,177,1101,.412,.328,.781,16.0,7.5,2.2,1.2,0.7,0.2
11,James Bouknight,"Oct 22, '21, CHO @ CLE",21,3,79,900,136,375,63,188,48,63,31,133,73,22,7,49,81,383,.363,.335,.762,11.4,4.8,1.7,0.9,0.3,0.1
12,Chaundee Brown Jr.,"Dec 17, '21, LAL @ MIN",23,1,5,104,10,32,6,18,5,6,1,16,4,2,0,1,7,31,.313,.333,.833,20.8,6.2,3.2,0.8,0.4,0.0
13,Greg Brown III,"Oct 23, '21, POR vs. PHO",20,3,70,773,97,229,21,71,53,86,43,163,42,30,33,46,108,268,.424,.296,.616,11.0,3.8,2.3,0.6,0.4,0.5
14,Shaq Buchanan,"Dec 26, '21, MEM @ SAC",25,1,2,10,1,4,0,2,0,0,1,2,2,1,0,2,1,2,.250,.000,,5.0,1.0,1.0,1.0,0.5,0.0
15,Jared Butler,"Oct 20, '21, UTA vs. OKC",21,4,148,2047,377,837,119,349,117,143,40,217,417,93,29,168,207,990,.450,.341,.818,13.8,6.7,1.5,2.8,0.6,0.2
16,Ahmad Caver,"Jan 5, '22, IND vs. BRK",25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,,1.0,2.0,0.0,0.0,0.0,0.0
17,Justin Champagnie,"Oct 22, '21, TOR @ BOS",20,5,130,1991,286,596,100,281,85,114,188,518,98,88,52,74,170,757,.480,.356,.746,15.3,5.8,4.0,0.8,0.7,0.4
18,Josh Christopher,"Oct 20, '21, HOU @ MIN",20,3,152,2189,388,860,79,289,132,179,72,266,231,103,31,180,158,987,.451,.273,.737,14.4,6.5,1.8,1.5,0.7,0.2
19,Sharife Cooper,"Oct 21, '21, ATL vs. DAL",20,2,15,43,3,14,1,6,0,0,0,5,5,0,0,6,1,7,.214,.167,,2.9,0.5,0.3,0.3,0.0,0.0
20,Petr Cornelie,"Oct 25, '21, DEN vs. CLE",26,1,13,38,5,15,1,8,3,4,7,14,3,1,1,4,7,14,.333,.125,.750,2.9,1.1,1.1,0.2,0.1,0.1
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
21,Jarron Cumberland,"Dec 27, '21, POR vs. DAL",24,1,3,12,1,2,0,1,0,0,1,3,1,0,0,0,2,2,.500,.000,,4.0,0.7,1.0,0.3,0.0,0.0
22,Cade Cunningham,"Oct 30, '21, DET vs. ORL",20,5,220,7455,1846,4145,421,1257,802,945,171,1186,1649,232,134,837,627,4915,.445,.335,.849,33.9,22.3,5.4,7.5,1.1,0.6
23,Javin DeLaurier,"Jan 1, '22, MIL vs. NOP",23,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,,,3.0,0.0,1.0,0.0,1.0,0.0
24,Ayo Dosunmu,"Oct 20, '21, CHI @ DET",22,5,290,8094,1202,2385,330,902,295,376,155,838,949,240,110,393,654,3029,.504,.366,.785,27.9,10.4,2.9,3.3,0.8,0.4
25,Jeff Dowtin Jr.,"Nov 3, '21, GSW vs. CHO",24,4,87,1130,165,349,43,114,44,60,29,121,146,45,17,30,48,417,.473,.377,.733,13.0,4.8,1.4,1.7,0.5,0.2
26,Chris Duarte,"Oct 20, '21, IND @ CHO",24,4,177,3231,483,1190,199,571,183,225,91,467,231,109,27,158,247,1348,.406,.349,.813,18.3,7.6,2.6,1.3,0.6,0.2
27,David Duke Jr.,"Dec 8, '21, BRK @ HOU",22,4,55,654,91,218,16,61,33,43,44,111,47,27,8,32,72,231,.417,.262,.767,11.9,4.2,2.0,0.9,0.5,0.1
28,Jaime Echenique,"Dec 30, '21, WAS vs. CLE",24,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,0.0,0.0,0.0,0.0,0.0
29,Kessler Edwards,"Nov 16, '21, BRK vs. GSW",21,4,178,2255,247,577,107,297,44,56,98,390,111,72,54,75,213,645,.428,.360,.786,12.7,3.6,2.2,0.6,0.4,0.3
30,Rob Edwards,"Dec 29, '21, OKC @ PHO",25,1,2,11,1,4,1,4,0,0,0,3,0,0,0,1,0,3,.250,.250,,5.5,1.5,1.5,0.0,0.0,0.0
31,Aleem Ford,"Dec 17, '21, ORL vs. MIA",24,1,5,74,6,20,2,15,0,0,2,15,2,1,0,4,7,14,.300,.133,,14.8,2.8,3.0,0.4,0.2,0.0
32,Marcus Garrett,"Oct 21, '21, MIA vs. MIL",23,2,16,207,16,48,4,12,5,9,10,29,20,8,5,8,26,41,.333,.333,.556,12.9,2.6,1.8,1.3,0.5,0.3
33,Usman Garuba,"Oct 20, '21, HOU @ MIN",19,3,105,1227,106,227,29,80,35,56,144,397,82,55,43,55,165,276,.467,.363,.625,11.7,2.6,3.8,0.8,0.5,0.4
34,Luka Garza,"Oct 23, '21, DET @ CHI",23,5,138,1178,253,505,57,177,141,199,175,307,64,27,18,56,195,704,.501,.322,.709,8.5,5.1,2.2,0.5,0.2,0.1
