Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Mikal Bridges,26.0,2TM,SG,83.0,83.0,2963.0,0.468,14.6,0.651,0.17,0.176,0.227,0.078,0.349,0.514,0.693,0.466,0.469,0.364,0.382,0.538,0.923,0.028,31.0,0.434,0.448,2.0,0.0,
1.0,Mikal Bridges,26.0,PHO,SF,56.0,56.0,2040.0,0.463,14.1,0.658,0.185,0.177,0.224,0.073,0.342,0.503,0.709,0.422,0.468,0.286,0.387,0.605,0.98,0.035,24.0,0.46,0.475,1.0,0.0,
1.0,Mikal Bridges,26.0,BRK,SG,27.0,27.0,923.0,0.475,15.1,0.64,0.147,0.175,0.233,0.085,0.36,0.531,0.662,0.534,0.47,0.465,0.376,0.439,0.838,0.016,7.0,0.398,0.403,1.0,0.0,
2.0,Anthony Edwards,21.0,MIN,SG,79.0,79.0,2842.0,0.459,13.9,0.625,0.295,0.154,0.075,0.102,0.375,0.513,0.674,0.376,0.383,0.35,0.369,0.348,0.516,0.044,59.0,0.097,0.446,3.0,0.0,AS
3.0,Zach LaVine,27.0,CHI,SG,77.0,77.0,2768.0,0.485,14.9,0.608,0.284,0.112,0.067,0.145,0.392,0.556,0.693,0.442,0.441,0.428,0.375,0.335,0.647,0.042,56.0,0.138,0.467,0.0,0.0,
4.0,Nikola VuÄeviÄ,32.0,CHI,C,82.0,82.0,2746.0,0.52,12.8,0.698,0.235,0.258,0.126,0.078,0.302,0.594,0.704,0.601,0.462,0.456,0.349,0.735,1.0,0.039,37.0,0.124,0.465,0.0,0.0,
5.0,Julius Randle,28.0,NYK,PF,77.0,77.0,2737.0,0.459,15.3,0.556,0.22,0.149,0.123,0.064,0.444,0.553,0.679,0.519,0.443,0.407,0.343,0.382,0.752,0.051,62.0,0.142,0.333,2.0,0.0,"CPOY-14,AS,NBA3"
6.0,Domantas Sabonis,26.0,SAC,C,79.0,79.0,2736.0,0.615,6.2,0.912,0.483,0.314,0.044,0.058,0.088,0.639,0.764,0.502,0.512,0.444,0.373,0.57,0.968,0.092,79.0,0.12,0.2,1.0,0.0,"MVP-7,AS,NBA3"
7.0,Jayson Tatum,24.0,BOS,SF,74.0,74.0,2732.0,0.466,14.8,0.56,0.235,0.208,0.058,0.06,0.44,0.558,0.738,0.457,0.389,0.366,0.35,0.515,0.646,0.065,91.0,0.08,0.455,0.0,0.0,"MVP-4,CPOY-10,AS,NBA1"
