PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
1630639,A.J. Lawson,1610612761,TOR,25.0,6-6,78,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,-14.4,0.059,0.153,0.194,0.545,0.046
1631260,AJ Green,1610612749,MIL,26.0,6-4,76,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,1.0,0.006,0.079,0.128,0.654,0.089
1642358,AJ Johnson,1610612764,WAS,21.0,6-5,77,160,None,USA,2024,1,23,-6.9,0.039,0.119,0.182,0.306,0.119
203932,Aaron Gordon,1610612743,DEN,30.0,6-8,80,235,Arizona,USA,2014,1,4,14.0,0.047,0.162,0.228,0.632,0.13
1628988,Aaron Holiday,1610612745,HOU,29.0,6-0,72,185,UCLA,USA,2018,1,23,1.0,0.009,0.048,0.173,0.567,0.101
1630174,Aaron Nesmith,1610612754,IND,26.0,6-5,77,215,Vanderbilt,USA,2020,1,14,-7.0,0.044,0.12,0.194,0.498,0.104
1630598,Aaron Wiggins,1610612760,OKC,27.0,6-5,77,190,Maryland,USA,2021,2,55,12.3,0.026,0.106,0.186,0.571,0.101
1642846,Ace Bailey,1610612762,UTA,19.0,6-9,81,200,Rutgers,USA,2025,1,5,-11.2,0.058,0.079,0.186,0.539,0.097
1641737,Adem Bona,1610612755,PHI,22.0,6-10,82,235,UCLA,Nigeria,2024,2,41,1.3,0.1,0.119,0.096,0.644,0.021
1642876,Adou Thiero,1610612747,LAL,21.0,6-7,79,220,Arkansas,USA,2025,2,36,-4.2,0.085,0.149,0.125,0.465,0.079
1642349,Ajay Mitchell,1610612760,OKC,23.0,6-4,76,190,California-Santa Barbara,Belgium,2024,2,38,15.9,0.026,0.096,0.213,0.59,0.194
201143,Al Horford,1610612744,GSW,39.0,6-8,80,240,Florida,Dominican Republic,2007,1,3,0.7,0.045,0.212,0.156,0.534,0.148
1627936,Alex Caruso,1610612760,OKC,31.0,6-5,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,20.5,0.031,0.118,0.146,0.538,0.145
1642259,Alex Sarr,1610612764,WAS,20.0,7-0,84,205,None,France,2024,1,2,-11.4,0.071,0.173,0.25,0.565,0.156
1642918,Alijah Martin,1610612761,TOR,24.0,6-2,74,210,Florida,USA,2025,2,39,-4.7,0.059,0.068,0.164,0.48,0.145
1630578,Alperen Sengun,1610612745,HOU,23.0,6-11,83,243,None,Turkey,2021,1,16,5.8,0.081,0.179,0.264,0.564,0.282
1642873,Amari Williams,1610612738,BOS,23.0,6-11,83,250,Kentucky,United Kingdom,2025,2,46,-22.6,0.053,0.125,0.063,0.74,0.088
1641708,Amen Thompson,1610612745,HOU,22.0,6-7,79,200,None,USA,2023,1,4,8.6,0.072,0.126,0.2,0.577,0.199
1629599,Amir Coffey,1610612749,MIL,28.0,6-7,79,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,-6.6,0.023,0.065,0.106,0.538,0.054
203083,Andre Drummond,1610612755,PHI,32.0,6-11,83,279,Connecticut,USA,2012,1,9,-0.9,0.153,0.276,0.145,0.565,0.055
1641748,Andre Jackson Jr.,1610612749,MIL,24.0,6-6,78,209,Connecticut,USA,2023,2,36,-3.8,0.043,0.093,0.156,0.443,0.225
1629614,Andrew Nembhard,1610612754,IND,26.0,6-4,76,191,Gonzaga,Canada,2022,2,31,-10.1,0.013,0.073,0.235,0.566,0.353
203952,Andrew Wiggins,1610612748,MIA,30.0,6-6,78,197,Kansas,Canada,2014,1,1,-1.2,0.051,0.094,0.198,0.569,0.123
1629014,Anfernee Simons,1610612738,BOS,26.0,6-3,75,200,None,USA,2018,1,24,7.2,0.02,0.076,0.224,0.572,0.147
1641710,Anthony Black,1610612753,ORL,22.0,6-7,79,200,Arkansas,USA,2023,1,6,0.1,0.024,0.107,0.222,0.561,0.192
203076,Anthony Davis,1610612742,DAL,32.0,6-10,82,253,Kentucky,USA,2012,1,1,-4.6,0.099,0.24,0.272,0.551,0.14
1630162,Anthony Edwards,1610612750,MIN,24.0,6-4,76,225,Georgia,USA,2020,1,1,3.5,0.017,0.122,0.308,0.622,0.174
1630264,Anthony Gill,1610612764,WAS,33.0,6-7,79,230,Virginia,USA,Undrafted,Undrafted,Undrafted,4.5,0.061,0.138,0.118,0.747,0.034
1641810,Antonio Reeves,1610612766,CHA,25.0,6-5,77,205,Kentucky,USA,2024,2,47,21.3,0.018,0.078,0.124,0.656,0.05
1630574,Ariel Hukporti,1610612752,NYK,23.0,7-0,84,246,None,Germany,2024,2,58,2.0,0.102,0.168,0.088,0.562,0.085
1642854,Asa Newell,1610612737,ATL,20.0,6-10,82,220,Georgia,USA,2025,1,23,2.0,0.073,0.101,0.164,0.66,0.072
1641709,Ausar Thompson,1610612765,DET,22.0,6-7,79,205,None,USA,2023,1,5,6.0,0.082,0.141,0.184,0.537,0.138
1630559,Austin Reaves,1610612747,LAL,27.0,6-5,77,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted,3.3,0.022,0.126,0.276,0.666,0.274
1630245,Ayo Dosunmu,1610612741,CHI,26.0,6-4,76,201,Illinois,USA,2021,2,38,-1.7,0.024,0.072,0.194,0.635,0.203
1628389,Bam Adebayo,1610612748,MIA,28.0,6-9,81,255,Kentucky,USA,2017,1,14,3.2,0.057,0.24,0.232,0.546,0.132
1631248,Baylor Scheierman,1610612738,BOS,25.0,6-6,78,205,Creighton,USA,2024,1,30,6.3,0.022,0.117,0.092,0.633,0.076
1642879,Ben Saraf,1610612751,BKN,19.0,6-6,78,200,None,Israel,2025,1,26,-3.4,0.025,0.076,0.191,0.474,0.225
1641767,Ben Sheppard,1610612754,IND,24.0,6-6,78,190,Belmont,USA,2023,1,26,-10.4,0.024,0.114,0.122,0.505,0.112
1631097,Bennedict Mathurin,1610612754,IND,23.0,6-5,77,210,Arizona,Canada,2022,1,6,-10.6,0.023,0.144,0.233,0.577,0.109
1641731,Bilal Coulibaly,1610612764,WAS,21.0,6-7,79,195,None,France,2023,1,7,-11.8,0.032,0.134,0.178,0.513,0.13
202687,Bismack Biyombo,1610612759,SAS,33.0,6-8,80,255,None,DRC,2011,1,7,-21.9,0.035,0.096,0.066,0.654,0.065
1631104,Blake Wesley,1610612757,POR,22.0,6-4,76,190,Notre Dame,USA,2022,1,25,1.5,0.018,0.13,0.173,0.469,0.279
1626171,Bobby Portis,1610612749,MIL,30.0,6-9,81,250,Arkansas,USA,2015,1,22,-6.8,0.052,0.207,0.222,0.588,0.099
1641752,Bobi Klintman,1610612765,DET,22.0,6-9,81,225,None,Sweden,2024,2,37,-14.4,0.075,0.196,0.19,0.381,0.105
203992,Bogdan Bogdanović,1610612746,LAC,33.0,6-5,77,225,None,Serbia,2014,1,27,-2.1,0.015,0.106,0.177,0.511,0.193
1630538,Bones Hyland,1610612750,MIN,25.0,6-2,74,169,Virginia Commonwealth,USA,2021,1,26,10.5,0.013,0.082,0.188,0.574,0.237
203078,Bradley Beal,1610612746,LAC,32.0,6-4,76,207,Florida,USA,2012,1,3,-9.3,0.019,0.025,0.224,0.476,0.106
1642382,Branden Carlson,1610612760,OKC,26.0,7-0,84,220,Utah,USA,Undrafted,Undrafted,Undrafted,1.4,0.052,0.166,0.18,0.603,0.079
1641764,Brandin Podziemski,1610612744,GSW,22.0,6-4,76,205,Santa Clara,USA,2023,1,19,3.4,0.023,0.138,0.181,0.586,0.187
1629634,Brandon Clarke,1610612763,MEM,29.0,6-8,80,215,Gonzaga,Canada,2019,1,21,-22.2,0.154,0.077,0.193,0.372,0.071
