Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Tyrese Maxey,25.0,PHI,PG,41.0,41.0,1621.0,0.471,0.524,0.391,0.549,0.88,0.598,0.272,0.399,100.0,96.0,109.0,101.0,112.0,103.0,102.0,96.0,10.3,35.1,
2.0,Amen Thompson,23.0,HOU,PG,43.0,43.0,1606.0,0.513,0.564,0.195,0.527,0.797,0.577,0.348,0.138,109.0,103.0,54.0,97.0,101.0,99.0,130.0,33.0,-20.0,-4.4,
3.0,Scottie Barnes,24.0,TOR,PF,46.0,46.0,1591.0,0.501,0.55,0.315,0.534,0.826,0.576,0.261,0.207,107.0,100.0,88.0,98.0,105.0,99.0,97.0,50.0,-13.7,-7.7,
4.0,Toumani Camara,25.0,POR,PF,46.0,46.0,1558.0,0.431,0.585,0.354,0.549,0.711,0.567,0.169,0.667,92.0,107.0,98.0,101.0,90.0,98.0,63.0,161.0,5.0,-14.7,
5.0,DeMar DeRozan,36.0,SAC,PF,46.0,46.0,1540.0,0.506,0.534,0.354,0.534,0.874,0.603,0.404,0.157,108.0,98.0,99.0,98.0,111.0,104.0,151.0,38.0,-12.4,32.4,
6.0,Dyson Daniels,22.0,ATL,SG,45.0,45.0,1537.0,0.498,0.56,0.109,0.505,0.622,0.52,0.177,0.138,106.0,102.0,30.0,93.0,79.0,90.0,66.0,33.0,-35.6,-60.6,
7.0,Trey Murphy III,25.0,NOP,SF,43.0,43.0,1535.0,0.494,0.614,0.381,0.592,0.906,0.636,0.252,0.515,105.0,112.0,106.0,109.0,115.0,110.0,94.0,124.0,65.7,83.4,
8.0,Jalen Johnson,24.0,ATL,SF,43.0,43.0,1532.0,0.512,0.569,0.357,0.56,0.78,0.601,0.326,0.27,109.0,104.0,99.0,103.0,99.0,103.0,122.0,65.0,23.6,33.6,
9.0,Brandon Ingram,28.0,TOR,SF,45.0,45.0,1531.0,0.471,0.516,0.362,0.523,0.834,0.568,0.266,0.291,100.0,94.0,101.0,96.0,106.0,98.0,99.0,70.0,-31.4,-21.9,
10.0,Mikal Bridges,29.0,NYK,SF,44.0,43.0,1526.0,0.504,0.588,0.399,0.593,0.787,0.604,0.085,0.448,107.0,107.0,111.0,109.0,100.0,104.0,32.0,108.0,54.5,26.7,
11.0,Keyonte George,22.0,UTA,PG,44.0,44.0,1514.0,0.459,0.513,0.383,0.538,0.904,0.616,0.429,0.414,98.0,94.0,107.0,99.0,115.0,106.0,160.0,100.0,-8.0,61.7,
12.0,Julius Randle,31.0,MIN,PF,45.0,45.0,1513.0,0.494,0.559,0.34,0.544,0.811,0.603,0.418,0.298,105.0,102.0,95.0,100.0,103.0,104.0,156.0,72.0,0.8,37.7,
13.0,Kevin Durant,37.0,HOU,SF,41.0,41.0,1511.0,0.516,0.567,0.406,0.58,0.885,0.636,0.344,0.318,110.0,104.0,113.0,107.0,113.0,110.0,129.0,77.0,53.7,94.3,
14.0,Pascal Siakam,31.0,IND,PF,44.0,44.0,1492.0,0.483,0.517,0.385,0.533,0.677,0.563,0.323,0.262,103.0,95.0,107.0,98.0,86.0,97.0,121.0,63.0,-17.2,-33.5,
15.0,Nickeil Alexander-Walker,27.0,ATL,SG,45.0,38.0,1482.0,0.442,0.509,0.379,0.54,0.873,0.584,0.245,0.516,94.0,93.0,106.0,99.0,111.0,101.0,92.0,124.0,-5.7,4.9,
16.0,Jabari Smith Jr.,22.0,HOU,PF,42.0,42.0,1470.0,0.431,0.515,0.346,0.517,0.743,0.544,0.209,0.493,92.0,94.0,96.0,95.0,95.0,94.0,78.0,119.0,-29.2,-42.7,
17.0,Shai Gilgeous-Alexander,27.0,OKC,PG,44.0,44.0,1469.0,0.557,0.608,0.396,0.605,0.894,0.674,0.464,0.242,119.0,111.0,110.0,111.0,114.0,116.0,173.0,58.0,106.5,197.6,
18.0,Deni Avdija,25.0,POR,SF,42.0,42.0,1464.0,0.471,0.542,0.356,0.539,0.807,0.616,0.58,0.382,100.0,99.0,99.0,99.0,103.0,106.0,217.0,92.0,-6.8,62.6,
19.0,James Harden,36.0,LAC,PG,41.0,41.0,1463.0,0.419,0.497,0.342,0.505,0.899,0.596,0.485,0.5,89.0,91.0,95.0,93.0,114.0,103.0,181.0,121.0,-57.0,26.7,
20.0,Desmond Bane,27.0,ORL,SG,43.0,43.0,1455.0,0.452,0.506,0.34,0.507,0.931,0.56,0.244,0.324,96.0,92.0,95.0,93.0,118.0,97.0,91.0,78.0,-48.3,-29.3,
21.0,Jamal Murray,28.0,DEN,PG,41.0,41.0,1453.0,0.49,0.518,0.448,0.579,0.892,0.621,0.24,0.397,104.0,95.0,125.0,107.0,114.0,107.0,90.0,96.0,55.2,69.1,
22.0,Miles Bridges,27.0,CHO,PF,44.0,44.0,1444.0,0.443,0.533,0.332,0.517,0.839,0.561,0.255,0.448,94.0,97.0,93.0,95.0,107.0,97.0,95.0,108.0,-34.6,-28.0,
23.0,Onyeka Okongwu,25.0,ATL,C,45.0,34.0,1443.0,0.484,0.571,0.369,0.564,0.782,0.592,0.219,0.431,103.0,104.0,103.0,104.0,100.0,102.0,82.0,104.0,22.5,14.5,
24.0,Donte DiVincenzo,29.0,MIN,SG,45.0,45.0,1435.0,0.414,0.534,0.375,0.556,0.767,0.576,0.151,0.756,88.0,98.0,105.0,102.0,98.0,99.0,56.0,182.0,11.8,-5.1,
25.0,Immanuel Quickley,26.0,TOR,PG,44.0,44.0,1433.0,0.439,0.525,0.36,0.533,0.814,0.571,0.246,0.522,94.0,96.0,100.0,98.0,104.0,98.0,92.0,126.0,-12.6,-12.1,
26.0,Derrick White,31.0,BOS,SG,42.0,42.0,1432.0,0.391,0.489,0.323,0.486,0.886,0.526,0.19,0.587,83.0,89.0,90.0,89.0,113.0,91.0,71.0,142.0,-74.8,-76.4,
27.0,Donovan Mitchell,29.0,CLE,SG,42.0,42.0,1431.0,0.482,0.573,0.383,0.573,0.84,0.617,0.295,0.479,103.0,105.0,107.0,105.0,107.0,106.0,110.0,116.0,51.7,72.2,
28.0,Cooper Flagg,19.0,DAL,SF,42.0,42.0,1421.0,0.477,0.535,0.283,0.509,0.798,0.554,0.289,0.229,102.0,98.0,79.0,94.0,101.0,95.0,108.0,55.0,-43.4,-37.5,
29.0,Kon Knueppel,20.0,CHO,SF,44.0,43.0,1417.0,0.482,0.56,0.423,0.603,0.9,0.637,0.199,0.573,103.0,102.0,118.0,111.0,114.0,110.0,74.0,138.0,71.4,73.7,
30.0,Payton Pritchard,28.0,BOS,PG,43.0,43.0,1413.0,0.451,0.57,0.344,0.542,0.867,0.567,0.138,0.527,96.0,104.0,96.0,100.0,110.0,98.0,52.0,127.0,-2.6,-17.2,
31.0,Jaylen Brown,29.0,BOS,SF,41.0,41.0,1411.0,0.483,0.526,0.366,0.532,0.781,0.577,0.332,0.267,103.0,96.0,102.0,98.0,99.0,99.0,124.0,64.0,-21.5,-6.7,
32.0,VJ Edgecombe,20.0,PHI,SG,39.0,39.0,1399.0,0.429,0.475,0.368,0.509,0.766,0.535,0.178,0.431,91.0,87.0,103.0,94.0,97.0,92.0,66.0,104.0,-37.3,-52.2,
