Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Tyrese Maxey,25.0,PHI,PG,41.0,41.0,1621.0,23.1,0.598,0.399,0.272,0.8,11.3,6.0,29.7,2.6,2.2,9.0,29.5,4.2,2.0,6.2,0.185,5.7,1.1,6.8,3.5,
2.0,Amen Thompson,23.0,HOU,PG,43.0,43.0,1606.0,18.2,0.577,0.138,0.348,8.4,14.6,11.5,20.1,1.8,1.4,13.5,20.6,3.2,1.9,5.2,0.155,1.3,0.7,2.0,1.6,
3.0,Scottie Barnes,24.0,TOR,PF,46.0,46.0,1591.0,19.5,0.576,0.207,0.261,6.9,19.9,13.3,24.3,1.9,4.1,13.4,24.3,2.0,2.6,4.6,0.139,1.8,2.0,3.8,2.3,
4.0,Toumani Camara,25.0,POR,PF,46.0,46.0,1558.0,10.4,0.567,0.667,0.169,5.5,10.9,8.1,11.2,1.4,1.3,14.8,16.2,0.8,1.1,2.0,0.06,-1.3,-0.5,-1.8,0.1,
5.0,DeMar DeRozan,36.0,SAC,PF,46.0,46.0,1540.0,17.7,0.603,0.157,0.404,1.7,9.4,5.5,18.0,2.0,0.6,6.7,21.4,3.3,0.5,3.9,0.121,0.6,-0.3,0.3,0.9,
6.0,Dyson Daniels,22.0,ATL,SG,45.0,45.0,1537.0,13.8,0.52,0.138,0.177,7.0,14.4,10.7,24.2,2.5,1.2,15.8,16.2,1.0,1.8,2.7,0.085,-1.6,1.1,-0.5,0.6,
7.0,Trey Murphy III,25.0,NOP,SF,43.0,43.0,1535.0,19.4,0.636,0.515,0.252,3.3,15.3,9.1,15.3,2.1,0.8,9.9,22.6,3.5,0.8,4.3,0.133,3.4,-0.9,2.5,1.7,
8.0,Jalen Johnson,24.0,ATL,SF,43.0,43.0,1532.0,21.2,0.601,0.27,0.326,4.6,27.8,16.0,34.2,1.6,1.3,15.3,26.7,2.5,2.0,4.5,0.141,3.2,1.2,4.3,2.4,
9.0,Brandon Ingram,28.0,TOR,SF,45.0,45.0,1531.0,16.2,0.568,0.291,0.266,2.7,17.0,9.8,17.3,1.1,2.2,12.3,27.3,0.5,1.9,2.4,0.076,0.8,-0.4,0.3,0.9,
10.0,Mikal Bridges,29.0,NYK,SF,44.0,43.0,1526.0,16.9,0.604,0.448,0.085,3.5,10.8,7.1,17.0,2.2,2.6,7.3,17.1,3.3,1.6,4.9,0.153,2.4,1.3,3.7,2.2,
11.0,Keyonte George,22.0,UTA,PG,44.0,44.0,1514.0,18.7,0.616,0.414,0.429,1.5,11.3,6.3,29.8,1.5,0.8,14.7,27.8,2.8,0.0,2.8,0.09,3.0,-2.2,0.9,1.1,
12.0,Julius Randle,31.0,MIN,PF,45.0,45.0,1513.0,20.4,0.603,0.298,0.418,5.5,17.2,11.5,24.5,1.5,0.5,12.1,26.7,3.6,1.8,5.4,0.17,2.7,0.1,2.8,1.8,
13.0,Kevin Durant,37.0,HOU,SF,41.0,41.0,1511.0,20.9,0.636,0.318,0.344,1.3,15.2,8.3,19.4,1.0,2.4,13.0,26.9,4.2,1.6,5.8,0.184,4.2,0.1,4.4,2.4,
14.0,Pascal Siakam,31.0,IND,PF,44.0,44.0,1492.0,18.9,0.563,0.262,0.323,5.0,17.4,10.9,21.1,1.6,1.1,9.4,29.0,1.3,1.4,2.6,0.085,2.4,-0.6,1.8,1.4,
15.0,Nickeil Alexander-Walker,27.0,ATL,SG,45.0,38.0,1482.0,15.2,0.584,0.516,0.245,2.0,9.8,5.8,15.4,1.6,1.7,10.4,24.6,1.0,1.2,2.2,0.071,0.6,-1.2,-0.6,0.5,
16.0,Jabari Smith Jr.,22.0,HOU,PF,42.0,42.0,1470.0,12.8,0.544,0.493,0.209,5.1,16.8,11.0,7.3,1.1,2.3,8.7,18.3,1.6,1.7,3.3,0.108,-0.8,-0.3,-1.2,0.3,
17.0,Shai Gilgeous-Alexander,27.0,OKC,PG,44.0,44.0,1469.0,32.1,0.674,0.242,0.464,1.7,12.1,7.2,32.4,1.9,2.4,7.5,33.6,7.9,2.7,10.6,0.346,9.5,2.7,12.2,5.2,
18.0,Deni Avdija,25.0,POR,SF,42.0,42.0,1464.0,21.3,0.616,0.382,0.58,3.2,19.1,11.0,31.9,1.1,1.5,15.4,29.1,3.6,1.4,5.0,0.165,4.6,0.4,5.0,2.6,
19.0,James Harden,36.0,LAC,PG,41.0,41.0,1463.0,21.8,0.596,0.5,0.485,2.1,13.4,7.9,37.5,1.8,0.9,14.5,31.5,3.4,1.0,4.4,0.144,4.7,-1.2,3.4,2.0,
20.0,Desmond Bane,27.0,ORL,SG,43.0,43.0,1455.0,14.9,0.56,0.324,0.244,4.3,10.6,7.4,20.4,1.1,1.4,11.6,23.7,1.4,1.2,2.6,0.087,0.2,-0.8,-0.6,0.5,
21.0,Jamal Murray,28.0,DEN,PG,41.0,41.0,1453.0,22.7,0.621,0.397,0.24,1.5,11.9,6.9,32.8,1.4,0.9,10.2,28.7,4.2,0.9,5.2,0.17,5.7,-1.6,4.1,2.3,
22.0,Miles Bridges,27.0,CHO,PF,44.0,44.0,1444.0,16.0,0.561,0.448,0.255,3.6,17.7,10.8,16.4,0.7,1.3,7.9,23.2,2.3,1.0,3.3,0.111,1.3,-0.9,0.5,0.9,
23.0,Onyeka Okongwu,25.0,ATL,C,45.0,34.0,1443.0,15.9,0.592,0.431,0.219,6.4,20.5,13.4,14.9,1.8,2.7,12.7,20.6,1.3,1.8,3.1,0.104,-0.4,0.3,-0.1,0.7,
24.0,Donte DiVincenzo,29.0,MIN,SG,45.0,45.0,1435.0,13.6,0.576,0.756,0.151,3.5,12.1,7.9,17.7,2.0,1.3,10.7,16.9,1.9,1.7,3.6,0.121,0.5,0.8,1.3,1.2,
25.0,Immanuel Quickley,26.0,TOR,PG,44.0,44.0,1433.0,16.4,0.571,0.522,0.246,1.8,12.9,7.3,27.5,1.8,0.3,10.2,21.6,2.3,1.7,4.0,0.133,1.7,0.3,2.0,1.5,
26.0,Derrick White,31.0,BOS,SG,42.0,42.0,1432.0,16.9,0.526,0.587,0.19,3.2,11.6,7.4,22.0,1.9,4.4,9.8,23.5,1.9,1.7,3.6,0.121,2.5,0.5,3.0,1.8,
27.0,Donovan Mitchell,29.0,CLE,SG,42.0,42.0,1431.0,22.8,0.617,0.479,0.295,2.6,12.7,7.6,28.0,2.1,0.6,11.6,32.2,3.4,1.4,4.8,0.162,5.6,-0.2,5.4,2.7,
28.0,Cooper Flagg,19.0,DAL,SF,42.0,42.0,1421.0,16.1,0.554,0.229,0.289,3.7,15.9,10.0,18.4,1.8,1.9,11.7,23.9,0.6,1.9,2.6,0.087,-0.3,0.9,0.6,0.9,
29.0,Kon Knueppel,20.0,CHO,SF,44.0,43.0,1417.0,16.8,0.637,0.573,0.199,4.3,14.7,9.6,16.9,1.0,0.6,12.9,22.3,2.8,0.9,3.7,0.126,2.8,-0.9,1.9,1.4,
30.0,Payton Pritchard,28.0,BOS,PG,43.0,43.0,1413.0,17.3,0.567,0.527,0.138,3.4,11.4,7.4,23.3,1.3,0.4,7.1,21.0,3.5,1.1,4.6,0.156,2.5,-0.7,1.8,1.4,
31.0,Jaylen Brown,29.0,BOS,SF,41.0,41.0,1411.0,22.7,0.577,0.267,0.332,4.2,17.4,10.8,24.9,1.5,1.1,12.6,36.9,2.3,1.5,3.8,0.131,3.9,-1.0,2.9,1.7,
32.0,VJ Edgecombe,20.0,PHI,SG,39.0,39.0,1399.0,13.1,0.535,0.431,0.178,5.1,11.4,8.2,17.0,2.1,1.3,11.3,19.4,0.9,1.5,2.4,0.082,-0.9,0.3,-0.6,0.5,
33.0,Devin Booker,29.0,PHO,SG,41.0,41.0,1394.0,19.6,0.58,0.297,0.438,2.7,10.7,6.6,29.7,1.3,0.8,13.1,31.2,2.7,1.3,4.0,0.137,2.7,-0.9,1.8,1.3,
34.0,Ryan Rollins,23.0,MIL,PG,44.0,39.0,1390.0,15.7,0.563,0.431,0.151,3.0,12.9,8.0,26.1,2.4,1.3,13.7,23.2,0.9,1.4,2.3,0.079,0.1,0.0,0.1,0.7,
35.0,Jaden McDaniels,25.0,MIN,PF,43.0,43.0,1386.0,14.4,0.615,0.302,0.239,4.0,11.4,7.8,12.6,1.6,2.6,12.3,18.3,1.9,1.6,3.5,0.121,-0.6,0.6,0.0,0.7,
36.0,Russell Westbrook,37.0,SAC,SF,46.0,40.0,1367.0,15.7,0.538,0.445,0.224,5.3,17.8,11.4,34.5,2.3,0.5,18.9,25.5,-0.2,0.9,0.7,0.024,0.9,-0.6,0.3,0.8,
37.0,Rudy Gobert,33.0,MIN,C,43.0,43.0,1363.0,17.7,0.686,0.004,0.605,13.7,25.5,19.7,7.4,1.1,4.8,14.2,12.4,3.0,2.2,5.2,0.183,0.0,0.9,1.0,1.0,
38.0,Jalen Brunson,29.0,NYK,PG,39.0,38.0,1341.0,21.4,0.594,0.366,0.283,1.6,8.7,5.1,29.7,0.9,0.2,8.9,31.4,3.9,0.7,4.6,0.165,4.8,-1.9,2.9,1.7,
39.0,Evan Mobley,24.0,CLE,PF,40.0,38.0,1332.0,18.9,0.581,0.277,0.342,7.4,21.2,14.2,18.1,1.4,5.4,12.1,21.8,1.8,1.9,3.7,0.134,1.3,1.5,2.9,1.6,
40.0,Nikola VuÄeviÄ,35.0,CHI,C,43.0,43.0,1321.0,18.5,0.583,0.339,0.106,7.7,23.7,15.8,18.3,1.0,1.8,8.8,21.7,2.1,1.2,3.4,0.122,1.9,-0.3,1.6,1.2,
41.0,Royce O'Neale,32.0,PHO,SF,45.0,40.0,1319.0,11.6,0.605,0.822,0.051,2.6,16.6,9.4,13.5,2.0,1.0,15.4,14.5,1.0,1.7,2.7,0.098,-0.1,1.1,1.0,1.0,
42.0,Cade Cunningham,24.0,DET,PG,37.0,37.0,1314.0,21.1,0.561,0.304,0.369,3.1,14.8,9.0,42.6,2.0,2.3,14.7,30.6,2.4,2.2,4.6,0.169,4.1,1.3,5.3,2.4,
43.0,Karl-Anthony Towns,30.0,NYK,C,41.0,40.0,1313.0,20.8,0.601,0.325,0.445,9.9,30.0,19.7,13.6,1.4,2.1,13.2,26.1,2.7,1.8,4.6,0.167,2.1,-0.1,1.9,1.3,
44.0,Anthony Black,22.0,ORL,PG,43.0,23.0,1312.0,13.8,0.561,0.37,0.311,2.7,12.0,7.3,19.5,2.0,1.9,14.7,22.5,0.3,1.5,1.8,0.065,-1.0,0.3,-0.7,0.4,
45.0,Naji Marshall,28.0,DAL,SF,45.0,22.0,1306.0,16.4,0.639,0.299,0.384,3.0,13.9,8.6,15.2,1.7,0.3,10.6,18.5,2.4,1.5,3.9,0.145,0.0,1.0,1.0,1.0,
46.0,Andrew Wiggins,30.0,MIA,SF,41.0,41.0,1294.0,14.4,0.569,0.369,0.173,5.7,10.4,8.0,12.5,1.7,2.9,11.2,20.2,0.8,1.5,2.3,0.087,0.0,0.5,0.5,0.8,
47.0,Julian Champagnie,24.0,SAS,SF,45.0,31.0,1290.0,13.1,0.605,0.769,0.216,3.7,19.5,11.7,7.0,1.5,1.3,9.5,15.7,1.4,1.8,3.3,0.121,0.5,0.6,1.1,1.0,
