Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Tyrese Maxey,25.0,PHI,PG,41.0,41.0,1621.0,13.0,27.6,0.471,4.3,11.0,0.391,8.7,16.6,0.524,0.549,6.6,7.5,0.88,0.4,4.9,5.3,8.3,2.6,1.2,3.0,2.6,36.9,123.0,114.0,
2.0,Amen Thompson,23.0,HOU,PG,43.0,43.0,1606.0,9.5,18.5,0.513,0.5,2.6,0.195,9.0,15.9,0.564,0.527,5.1,6.4,0.797,3.8,6.6,10.3,7.0,1.8,0.7,3.3,3.1,24.6,123.0,114.0,
3.0,Scottie Barnes,24.0,TOR,PF,46.0,46.0,1591.0,10.9,21.6,0.501,1.4,4.5,0.315,9.4,17.2,0.55,0.534,4.7,5.6,0.826,3.0,8.6,11.6,7.8,1.9,2.0,3.7,4.0,27.8,115.0,110.0,
4.0,Toumani Camara,25.0,POR,PF,46.0,46.0,1558.0,6.5,15.0,0.431,3.5,10.0,0.354,2.9,5.0,0.585,0.549,1.8,2.5,0.711,2.4,4.7,7.1,3.8,1.4,0.7,2.8,4.5,18.3,112.0,118.0,
5.0,DeMar DeRozan,36.0,SAC,PF,46.0,46.0,1540.0,9.6,19.1,0.506,1.1,3.0,0.354,8.6,16.1,0.534,0.534,6.7,7.7,0.874,0.7,4.0,4.7,5.7,2.0,0.3,1.6,3.0,27.1,125.0,122.0,
6.0,Dyson Daniels,22.0,ATL,SG,45.0,45.0,1537.0,7.0,14.2,0.498,0.2,2.0,0.109,6.8,12.2,0.56,0.505,1.6,2.5,0.622,3.1,6.1,9.2,8.5,2.5,0.6,2.9,3.0,15.9,113.0,115.0,
7.0,Trey Murphy III,25.0,NOP,SF,43.0,43.0,1535.0,10.4,21.1,0.494,4.1,10.9,0.381,6.3,10.2,0.614,0.592,4.8,5.3,0.906,1.5,6.5,8.0,4.8,2.1,0.4,2.6,2.9,29.8,125.0,120.0,
8.0,Jalen Johnson,24.0,ATL,SF,43.0,43.0,1532.0,11.4,22.2,0.512,2.1,6.0,0.357,9.2,16.2,0.569,0.56,5.6,7.2,0.78,2.0,11.8,13.8,10.5,1.6,0.6,4.6,2.7,30.5,117.0,113.0,
9.0,Brandon Ingram,28.0,TOR,SF,45.0,45.0,1531.0,11.6,24.6,0.471,2.6,7.1,0.362,9.0,17.4,0.516,0.523,5.4,6.5,0.834,1.2,7.3,8.5,5.4,1.1,1.1,3.9,2.8,31.2,109.0,114.0,
10.0,Mikal Bridges,29.0,NYK,SF,44.0,43.0,1526.0,8.9,17.7,0.504,3.2,7.9,0.399,5.8,9.8,0.588,0.593,1.2,1.5,0.787,1.6,4.7,6.3,5.9,2.2,1.2,1.4,2.7,22.2,129.0,115.0,
11.0,Keyonte George,22.0,UTA,PG,44.0,44.0,1514.0,10.5,22.8,0.459,3.6,9.4,0.383,6.9,13.4,0.513,0.538,8.8,9.8,0.904,0.7,4.8,5.4,9.1,1.5,0.4,4.7,3.2,33.4,118.0,125.0,
12.0,Julius Randle,31.0,MIN,PF,45.0,45.0,1513.0,11.1,22.4,0.494,2.3,6.7,0.34,8.8,15.7,0.559,0.544,7.6,9.4,0.811,2.4,7.6,9.9,7.7,1.5,0.3,3.7,3.9,32.0,122.0,114.0,
13.0,Kevin Durant,37.0,HOU,SF,41.0,41.0,1511.0,12.5,24.3,0.516,3.1,7.7,0.406,9.4,16.6,0.567,0.58,7.4,8.4,0.885,0.6,6.8,7.4,6.2,1.0,1.3,4.2,2.9,35.6,125.0,115.0,
14.0,Pascal Siakam,31.0,IND,PF,44.0,44.0,1492.0,12.6,26.0,0.483,2.6,6.8,0.385,9.9,19.2,0.517,0.533,5.7,8.4,0.677,2.3,7.4,9.8,5.6,1.6,0.6,3.1,3.6,33.4,112.0,117.0,
15.0,Nickeil Alexander-Walker,27.0,ATL,SG,45.0,38.0,1482.0,9.9,22.3,0.442,4.4,11.5,0.379,5.5,10.8,0.509,0.54,4.8,5.5,0.873,0.9,4.2,5.0,5.0,1.6,0.9,2.9,2.9,28.9,112.0,118.0,
16.0,Jabari Smith Jr.,22.0,HOU,PF,42.0,42.0,1470.0,7.9,18.4,0.431,3.1,9.0,0.346,4.8,9.3,0.515,0.517,2.9,3.8,0.743,2.3,7.5,9.8,2.7,1.1,1.2,1.9,3.9,21.8,118.0,115.0,
17.0,Shai Gilgeous-Alexander,27.0,OKC,PG,44.0,44.0,1469.0,15.9,28.6,0.557,2.7,6.9,0.396,13.2,21.7,0.608,0.605,11.9,13.3,0.894,0.7,5.6,6.3,9.0,1.9,1.1,2.8,2.9,46.4,136.0,108.0,
18.0,Deni Avdija,25.0,POR,SF,42.0,42.0,1464.0,10.8,23.0,0.471,3.1,8.8,0.356,7.7,14.2,0.542,0.539,10.8,13.3,0.807,1.4,8.3,9.7,9.4,1.1,0.8,5.3,3.7,35.5,121.0,116.0,
19.0,James Harden,36.0,LAC,PG,41.0,41.0,1463.0,10.5,25.0,0.419,4.3,12.5,0.342,6.2,12.5,0.497,0.505,10.9,12.1,0.899,0.9,5.9,6.8,11.3,1.8,0.5,5.2,2.7,36.2,119.0,119.0,
20.0,Desmond Bane,27.0,ORL,SG,43.0,43.0,1455.0,9.8,21.7,0.452,2.4,7.0,0.34,7.4,14.7,0.506,0.507,4.9,5.3,0.931,1.9,4.6,6.5,6.4,1.1,0.8,3.1,4.3,26.9,114.0,118.0,
21.0,Jamal Murray,28.0,DEN,PG,41.0,41.0,1453.0,12.8,26.2,0.49,4.7,10.4,0.448,8.2,15.8,0.518,0.579,5.6,6.3,0.892,0.6,5.4,6.0,10.1,1.4,0.5,3.3,2.2,35.9,125.0,119.0,
22.0,Miles Bridges,27.0,CHO,PF,44.0,44.0,1444.0,9.9,22.4,0.443,3.3,10.0,0.332,6.6,12.3,0.533,0.517,4.8,5.7,0.839,1.5,7.8,9.4,5.2,0.7,0.7,2.1,2.7,27.9,119.0,118.0,
23.0,Onyeka Okongwu,25.0,ATL,C,45.0,34.0,1443.0,8.9,18.4,0.484,2.9,7.9,0.369,6.0,10.5,0.571,0.564,3.2,4.0,0.782,2.8,8.7,11.5,4.9,1.8,1.4,2.9,5.2,23.9,114.0,114.0,
24.0,Donte DiVincenzo,29.0,MIN,SG,45.0,45.0,1435.0,6.6,16.1,0.414,4.6,12.1,0.375,2.1,3.9,0.534,0.556,1.9,2.4,0.767,1.5,5.3,6.8,6.4,2.0,0.7,2.1,3.7,19.7,120.0,114.0,
25.0,Immanuel Quickley,26.0,TOR,PG,44.0,44.0,1433.0,8.8,20.1,0.439,3.8,10.5,0.36,5.0,9.6,0.525,0.533,4.0,4.9,0.814,0.8,5.5,6.4,9.4,1.8,0.2,2.5,3.0,25.4,119.0,115.0,
26.0,Derrick White,31.0,BOS,SG,42.0,42.0,1432.0,8.9,22.8,0.391,4.3,13.4,0.323,4.6,9.4,0.489,0.486,3.8,4.3,0.886,1.4,5.3,6.7,7.9,1.9,2.2,2.7,2.5,25.9,117.0,114.0,
27.0,Donovan Mitchell,29.0,CLE,SG,42.0,42.0,1431.0,13.9,28.9,0.482,5.3,13.9,0.383,8.6,15.0,0.573,0.573,7.2,8.5,0.84,1.2,5.5,6.7,8.0,2.1,0.3,4.3,3.4,40.3,120.0,116.0,
28.0,Cooper Flagg,19.0,DAL,SF,42.0,42.0,1421.0,10.0,21.0,0.477,1.4,4.8,0.283,8.7,16.2,0.535,0.509,4.8,6.1,0.798,1.6,7.3,8.9,5.7,1.8,1.1,3.2,3.2,26.3,110.0,113.0,
29.0,Kon Knueppel,20.0,CHO,SF,44.0,43.0,1417.0,10.0,20.8,0.482,5.0,11.9,0.423,5.0,8.9,0.56,0.603,3.7,4.1,0.9,1.8,6.5,8.4,5.4,1.0,0.3,3.4,3.5,28.8,123.0,119.0,
30.0,Payton Pritchard,28.0,BOS,PG,43.0,43.0,1413.0,9.6,21.4,0.451,3.9,11.3,0.344,5.8,10.1,0.57,0.542,2.6,2.9,0.867,1.5,5.2,6.8,8.2,1.3,0.2,1.7,2.3,25.7,127.0,118.0,
31.0,Jaylen Brown,29.0,BOS,SF,41.0,41.0,1411.0,15.8,32.8,0.483,3.2,8.8,0.366,12.6,24.0,0.526,0.532,8.5,10.9,0.781,1.9,7.9,9.8,7.2,1.5,0.6,5.4,4.3,43.4,115.0,115.0,
32.0,VJ Edgecombe,20.0,PHI,SG,39.0,39.0,1399.0,7.9,18.3,0.429,2.9,7.9,0.368,4.9,10.4,0.475,0.509,2.5,3.3,0.766,2.3,4.9,7.2,5.6,2.1,0.7,2.5,4.4,21.1,112.0,115.0,
33.0,Devin Booker,29.0,PHO,SG,41.0,41.0,1394.0,12.0,26.4,0.456,2.4,7.8,0.313,9.6,18.5,0.517,0.503,10.0,11.5,0.864,1.2,4.6,5.8,8.9,1.3,0.4,4.8,3.8,36.5,118.0,117.0,
