Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Tyrese Maxey,25.0,PHI,PG,41.0,41.0,1621.0,9.7,20.5,0.471,3.2,8.2,0.391,6.5,12.3,0.524,0.549,4.9,5.6,0.88,0.3,3.6,3.9,6.2,1.9,0.9,2.3,1.9,27.4,
2.0,Amen Thompson,23.0,HOU,PG,43.0,43.0,1606.0,6.8,13.3,0.513,0.4,1.8,0.195,6.5,11.5,0.564,0.527,3.7,4.6,0.797,2.7,4.7,7.4,5.0,1.3,0.5,2.4,2.2,17.7,
3.0,Scottie Barnes,24.0,TOR,PF,46.0,46.0,1591.0,8.0,16.0,0.501,1.0,3.3,0.315,7.0,12.7,0.55,0.534,3.4,4.2,0.826,2.2,6.3,8.6,5.7,1.4,1.5,2.8,2.9,20.5,
4.0,Toumani Camara,25.0,POR,PF,46.0,46.0,1558.0,4.9,11.4,0.431,2.7,7.6,0.354,2.2,3.8,0.585,0.549,1.4,1.9,0.711,1.8,3.6,5.4,2.8,1.0,0.5,2.1,3.4,13.8,
5.0,DeMar DeRozan,36.0,SAC,PF,46.0,46.0,1540.0,7.2,14.3,0.506,0.8,2.2,0.354,6.4,12.0,0.534,0.534,5.0,5.8,0.874,0.6,3.0,3.5,4.2,1.5,0.3,1.2,2.3,20.3,
6.0,Dyson Daniels,22.0,ATL,SG,45.0,45.0,1537.0,5.4,10.9,0.498,0.2,1.5,0.109,5.2,9.4,0.56,0.505,1.2,1.9,0.622,2.3,4.7,7.1,6.5,1.9,0.5,2.2,2.3,12.2,
7.0,Trey Murphy III,25.0,NOP,SF,43.0,43.0,1535.0,7.9,15.9,0.494,3.1,8.2,0.381,4.7,7.7,0.614,0.592,3.6,4.0,0.906,1.1,4.9,6.0,3.6,1.6,0.3,1.9,2.2,22.5,
8.0,Jalen Johnson,24.0,ATL,SF,43.0,43.0,1532.0,8.7,17.0,0.512,1.6,4.6,0.357,7.1,12.4,0.569,0.56,4.3,5.5,0.78,1.5,9.1,10.6,8.1,1.2,0.5,3.5,2.0,23.4,
9.0,Brandon Ingram,28.0,TOR,SF,45.0,45.0,1531.0,8.5,18.1,0.471,1.9,5.3,0.362,6.6,12.9,0.516,0.523,4.0,4.8,0.834,0.9,5.4,6.3,4.0,0.8,0.8,2.8,2.0,23.0,
10.0,Mikal Bridges,29.0,NYK,SF,44.0,43.0,1526.0,6.6,13.1,0.504,2.3,5.9,0.399,4.2,7.2,0.588,0.593,0.9,1.1,0.787,1.2,3.5,4.6,4.3,1.7,0.9,1.1,2.0,16.4,
11.0,Keyonte George,22.0,UTA,PG,44.0,44.0,1514.0,8.0,17.4,0.459,2.8,7.2,0.383,5.2,10.2,0.513,0.538,6.8,7.5,0.904,0.5,3.6,4.1,7.0,1.1,0.3,3.6,2.4,25.5,
12.0,Julius Randle,31.0,MIN,PF,45.0,45.0,1513.0,8.4,16.9,0.494,1.7,5.0,0.34,6.6,11.9,0.559,0.544,5.7,7.1,0.811,1.8,5.7,7.5,5.8,1.2,0.2,2.8,3.0,24.2,
13.0,Kevin Durant,37.0,HOU,SF,41.0,41.0,1511.0,9.0,17.5,0.516,2.3,5.6,0.406,6.8,11.9,0.567,0.58,5.3,6.0,0.885,0.4,4.9,5.3,4.5,0.7,0.9,3.0,2.1,25.7,
14.0,Pascal Siakam,31.0,IND,PF,44.0,44.0,1492.0,9.5,19.6,0.483,2.0,5.1,0.385,7.5,14.5,0.517,0.533,4.3,6.3,0.677,1.7,5.6,7.4,4.2,1.2,0.4,2.3,2.8,25.2,
15.0,Nickeil Alexander-Walker,27.0,ATL,SG,45.0,38.0,1482.0,7.6,17.1,0.442,3.4,8.8,0.379,4.2,8.3,0.509,0.54,3.7,4.2,0.873,0.7,3.2,3.9,3.8,1.2,0.7,2.2,2.3,22.2,
16.0,Jabari Smith Jr.,22.0,HOU,PF,42.0,42.0,1470.0,5.7,13.2,0.431,2.3,6.5,0.346,3.5,6.7,0.515,0.517,2.1,2.8,0.743,1.6,5.4,7.1,1.9,0.8,0.9,1.4,2.8,15.7,
17.0,Shai Gilgeous-Alexander,27.0,OKC,PG,44.0,44.0,1469.0,11.9,21.4,0.557,2.1,5.2,0.396,9.9,16.2,0.608,0.605,8.9,9.9,0.894,0.5,4.2,4.7,6.7,1.4,0.9,2.1,2.2,34.8,
18.0,Deni Avdija,25.0,POR,SF,42.0,42.0,1464.0,8.2,17.4,0.471,2.4,6.6,0.356,5.8,10.7,0.542,0.539,8.1,10.1,0.807,1.1,6.2,7.3,7.1,0.9,0.6,4.0,2.8,26.9,
19.0,James Harden,36.0,LAC,PG,41.0,41.0,1463.0,7.6,18.0,0.419,3.1,9.0,0.342,4.5,9.0,0.497,0.505,7.8,8.7,0.899,0.6,4.3,4.9,8.1,1.3,0.3,3.7,1.9,26.0,
20.0,Desmond Bane,27.0,ORL,SG,43.0,43.0,1455.0,7.3,16.2,0.452,1.8,5.2,0.34,5.5,11.0,0.506,0.507,3.7,4.0,0.931,1.4,3.4,4.8,4.8,0.8,0.6,2.4,3.2,20.1,
21.0,Jamal Murray,28.0,DEN,PG,41.0,41.0,1453.0,9.4,19.2,0.49,3.4,7.6,0.448,6.0,11.6,0.518,0.579,4.1,4.6,0.892,0.4,4.0,4.4,7.4,1.0,0.3,2.4,1.6,26.4,
22.0,Miles Bridges,27.0,CHO,PF,44.0,44.0,1444.0,7.3,16.4,0.443,2.4,7.4,0.332,4.8,9.1,0.533,0.517,3.5,4.2,0.839,1.1,5.8,6.9,3.8,0.5,0.5,1.6,2.0,20.5,
23.0,Onyeka Okongwu,25.0,ATL,C,45.0,34.0,1443.0,6.8,14.1,0.484,2.2,6.1,0.369,4.6,8.0,0.571,0.564,2.4,3.1,0.782,2.1,6.7,8.9,3.8,1.3,1.1,2.2,4.0,18.3,
24.0,Donte DiVincenzo,29.0,MIN,SG,45.0,45.0,1435.0,5.0,12.1,0.414,3.4,9.2,0.375,1.6,3.0,0.534,0.556,1.4,1.8,0.767,1.1,4.0,5.1,4.8,1.5,0.5,1.6,2.8,14.9,
25.0,Immanuel Quickley,26.0,TOR,PG,44.0,44.0,1433.0,6.5,14.8,0.439,2.8,7.7,0.36,3.7,7.1,0.525,0.533,3.0,3.6,0.814,0.6,4.1,4.7,6.9,1.3,0.1,1.9,2.2,18.8,
26.0,Derrick White,31.0,BOS,SG,42.0,42.0,1432.0,6.4,16.3,0.391,3.1,9.6,0.323,3.3,6.7,0.489,0.486,2.7,3.1,0.886,1.0,3.8,4.8,5.7,1.3,1.6,1.9,1.8,18.6,
27.0,Donovan Mitchell,29.0,CLE,SG,42.0,42.0,1431.0,10.6,21.9,0.482,4.0,10.5,0.383,6.5,11.4,0.573,0.573,5.4,6.5,0.84,0.9,4.2,5.1,6.1,1.6,0.3,3.2,2.6,30.6,
28.0,Cooper Flagg,19.0,DAL,SF,42.0,42.0,1421.0,7.7,16.0,0.477,1.0,3.7,0.283,6.6,12.4,0.535,0.509,3.7,4.6,0.798,1.2,5.6,6.8,4.4,1.3,0.8,2.4,2.4,20.0,
29.0,Kon Knueppel,20.0,CHO,SF,44.0,43.0,1417.0,7.4,15.3,0.482,3.7,8.8,0.423,3.7,6.5,0.56,0.603,2.7,3.0,0.9,1.3,4.8,6.1,3.9,0.8,0.3,2.5,2.6,21.2,
30.0,Payton Pritchard,28.0,BOS,PG,43.0,43.0,1413.0,6.9,15.3,0.451,2.8,8.1,0.344,4.1,7.2,0.57,0.542,1.8,2.1,0.867,1.1,3.7,4.8,5.9,0.9,0.1,1.2,1.7,18.4,
31.0,Jaylen Brown,29.0,BOS,SF,41.0,41.0,1411.0,11.4,23.5,0.483,2.3,6.3,0.366,9.1,17.2,0.526,0.532,6.1,7.8,0.781,1.4,5.7,7.0,5.2,1.0,0.4,3.9,3.1,31.1,
32.0,VJ Edgecombe,20.0,PHI,SG,39.0,39.0,1399.0,5.8,13.6,0.429,2.2,5.9,0.368,3.7,7.7,0.475,0.509,1.9,2.4,0.766,1.7,3.7,5.4,4.2,1.5,0.5,1.9,3.2,15.7,
33.0,Devin Booker,29.0,PHO,SG,41.0,41.0,1394.0,8.9,19.5,0.456,1.8,5.8,0.313,7.1,13.7,0.517,0.503,7.4,8.5,0.864,0.9,3.4,4.3,6.6,1.0,0.3,3.5,2.8,26.9,
34.0,Ryan Rollins,23.0,MIL,PG,44.0,39.0,1390.0,7.0,15.3,0.459,2.6,6.6,0.392,4.4,8.7,0.509,0.543,1.8,2.3,0.764,1.0,4.1,5.1,6.2,1.8,0.5,2.6,3.2,18.4,
35.0,Jaden McDaniels,25.0,MIN,PF,43.0,43.0,1386.0,6.4,12.4,0.516,1.6,3.7,0.417,4.8,8.6,0.559,0.579,2.5,3.0,0.842,1.3,3.8,5.1,3.2,1.2,1.1,1.9,3.8,16.8,
36.0,Russell Westbrook,37.0,SAC,SF,46.0,40.0,1367.0,6.9,15.9,0.435,2.5,7.1,0.351,4.4,8.8,0.503,0.513,2.5,3.6,0.696,1.7,5.6,7.4,8.2,1.7,0.2,4.1,3.0,18.8,
37.0,Rudy Gobert,33.0,MIN,C,43.0,43.0,1363.0,5.1,7.2,0.716,0.0,0.0,0.0,5.1,7.1,0.719,0.716,2.2,4.3,0.506,4.4,8.5,12.9,2.0,0.8,2.0,1.5,3.2,12.4,
38.0,Jalen Brunson,29.0,NYK,PG,39.0,38.0,1341.0,10.4,21.9,0.478,3.0,8.0,0.379,7.4,13.9,0.535,0.547,5.3,6.2,0.852,0.5,2.8,3.3,6.4,0.7,0.1,2.4,2.6,29.2,
39.0,Evan Mobley,24.0,CLE,PF,40.0,38.0,1332.0,7.5,14.5,0.517,1.2,4.0,0.309,6.3,10.5,0.596,0.559,3.2,5.0,0.636,2.5,7.0,9.5,4.5,1.0,2.1,2.3,2.7,19.4,
40.0,Nikola VuÄeviÄ,35.0,CHI,C,43.0,43.0,1321.0,8.1,16.2,0.504,2.0,5.5,0.373,6.1,10.7,0.571,0.567,1.4,1.7,0.81,2.5,8.1,10.7,4.4,0.8,0.7,1.6,2.3,19.7,
41.0,Royce O'Neale,32.0,PHO,SF,45.0,40.0,1319.0,4.4,10.3,0.431,3.5,8.4,0.417,0.9,1.8,0.493,0.602,0.3,0.5,0.632,0.8,5.2,6.1,3.6,1.4,0.4,1.9,2.6,12.7,
42.0,Cade Cunningham,24.0,DET,PG,37.0,37.0,1314.0,8.9,19.7,0.451,1.9,6.0,0.321,7.0,13.7,0.508,0.5,6.0,7.3,0.823,1.0,4.9,5.9,9.8,1.5,0.8,3.9,3.3,25.6,
43.0,Karl-Anthony Towns,30.0,NYK,C,41.0,40.0,1313.0,7.6,16.3,0.469,1.9,5.3,0.363,5.7,11.0,0.52,0.528,6.2,7.2,0.86,3.3,9.6,13.0,3.3,1.0,0.7,3.0,4.1,23.4,
44.0,Anthony Black,22.0,ORL,PG,43.0,23.0,1312.0,6.6,14.5,0.459,1.9,5.4,0.354,4.7,9.1,0.521,0.525,3.3,4.5,0.726,0.9,3.9,4.8,4.7,1.5,0.8,2.8,3.2,18.4,
45.0,Naji Marshall,28.0,DAL,SF,45.0,22.0,1306.0,6.6,12.1,0.548,1.1,3.6,0.313,5.5,8.5,0.648,0.595,3.7,4.6,0.792,1.0,4.9,5.9,3.7,1.3,0.1,1.7,2.5,18.0,
46.0,Andrew Wiggins,30.0,MIA,SF,41.0,41.0,1294.0,7.0,14.8,0.471,2.2,5.5,0.398,4.8,9.3,0.513,0.544,2.0,2.6,0.783,2.0,3.6,5.6,3.2,1.4,1.1,2.0,2.7,18.1,
