Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Tyrese Maxey,25.0,PHI,PG,41.0,41.0,1621.0,0.471,14.7,0.601,0.244,0.193,0.091,0.074,0.399,0.524,0.671,0.427,0.417,0.426,0.391,0.388,0.618,0.023,20.0,0.087,0.375,0.0,0.0,
2.0,Amen Thompson,23.0,HOU,PG,43.0,43.0,1606.0,0.513,8.3,0.862,0.367,0.332,0.103,0.061,0.138,0.564,0.752,0.457,0.361,0.361,0.195,0.488,0.938,0.184,104.0,0.561,0.196,1.0,0.0,
3.0,Scottie Barnes,24.0,TOR,PF,46.0,46.0,1591.0,0.501,10.5,0.793,0.306,0.266,0.161,0.059,0.207,0.55,0.713,0.441,0.456,0.452,0.315,0.571,0.935,0.102,65.0,0.205,0.267,0.0,0.0,
4.0,Toumani Camara,25.0,POR,PF,46.0,46.0,1558.0,0.431,18.1,0.333,0.161,0.152,0.016,0.004,0.667,0.585,0.772,0.44,0.25,0.0,0.354,0.635,0.888,0.047,22.0,0.284,0.301,0.0,0.0,
5.0,DeMar DeRozan,36.0,SAC,PF,46.0,46.0,1540.0,0.506,14.4,0.843,0.087,0.187,0.293,0.277,0.157,0.534,0.755,0.623,0.48,0.462,0.354,0.425,0.912,0.01,5.0,0.375,0.444,0.0,0.0,
6.0,Dyson Daniels,22.0,ATL,SG,45.0,45.0,1537.0,0.498,7.3,0.862,0.392,0.407,0.06,0.002,0.138,0.56,0.698,0.434,0.536,0.0,0.109,0.576,1.0,0.075,33.0,0.281,0.056,0.0,0.0,
7.0,Trey Murphy III,25.0,NOP,SF,43.0,43.0,1535.0,0.494,16.3,0.485,0.227,0.165,0.071,0.022,0.515,0.614,0.825,0.411,0.5,0.333,0.381,0.708,0.842,0.114,72.0,0.095,0.545,0.0,0.0,
8.0,Jalen Johnson,24.0,ATL,SF,43.0,43.0,1532.0,0.512,11.7,0.73,0.259,0.287,0.132,0.051,0.27,0.569,0.793,0.438,0.49,0.378,0.357,0.518,0.829,0.079,56.0,0.082,0.25,0.0,0.0,
9.0,Brandon Ingram,28.0,TOR,SF,45.0,45.0,1531.0,0.471,15.1,0.709,0.136,0.132,0.261,0.18,0.291,0.516,0.724,0.402,0.498,0.468,0.362,0.461,0.938,0.036,22.0,0.241,0.481,0.0,0.0,
10.0,Mikal Bridges,29.0,NYK,SF,44.0,43.0,1526.0,0.504,15.1,0.552,0.199,0.155,0.157,0.042,0.448,0.588,0.782,0.558,0.437,0.348,0.399,0.633,0.98,0.04,20.0,0.435,0.463,0.0,0.0,
11.0,Keyonte George,22.0,UTA,PG,44.0,44.0,1514.0,0.459,15.7,0.586,0.101,0.275,0.109,0.101,0.414,0.513,0.757,0.512,0.4,0.392,0.383,0.495,0.716,0.031,20.0,0.129,0.41,0.0,0.0,
12.0,Julius Randle,31.0,MIN,PF,45.0,45.0,1513.0,0.494,12.2,0.702,0.277,0.226,0.131,0.068,0.298,0.559,0.701,0.484,0.495,0.354,0.34,0.452,0.806,0.056,36.0,0.222,0.34,0.0,0.0,
13.0,Kevin Durant,37.0,HOU,SF,41.0,41.0,1511.0,0.516,16.3,0.682,0.057,0.154,0.313,0.158,0.318,0.567,0.81,0.584,0.53,0.534,0.406,0.454,0.705,0.044,30.0,0.068,0.5,0.0,0.0,
14.0,Pascal Siakam,31.0,IND,PF,44.0,44.0,1492.0,0.483,12.6,0.738,0.178,0.295,0.183,0.082,0.262,0.517,0.676,0.558,0.389,0.313,0.385,0.434,0.841,0.01,5.0,0.131,0.464,0.0,0.0,
