Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Shai Gilgeous-Alexander,27.0,OKC,PG,44.0,44.0,1469.0,487.0,875.0,0.557,84.0,212.0,0.396,403.0,663.0,0.608,0.605,363.0,406.0,0.894,22.0,171.0,193.0,274.0,58.0,35.0,86.0,89.0,1421.0,0.0,
2.0,Tyrese Maxey,25.0,PHI,PG,41.0,41.0,1621.0,435.0,923.0,0.471,144.0,368.0,0.391,291.0,555.0,0.524,0.549,221.0,251.0,0.88,12.0,164.0,176.0,279.0,86.0,39.0,102.0,86.0,1235.0,0.0,
3.0,Jaylen Brown,29.0,BOS,SF,41.0,41.0,1411.0,445.0,921.0,0.483,90.0,246.0,0.366,355.0,675.0,0.526,0.532,239.0,306.0,0.781,53.0,223.0,276.0,202.0,41.0,16.0,152.0,121.0,1219.0,2.0,
4.0,Donovan Mitchell,29.0,CLE,SG,42.0,42.0,1431.0,420.0,872.0,0.482,160.0,418.0,0.383,260.0,454.0,0.573,0.573,216.0,257.0,0.84,35.0,166.0,201.0,241.0,62.0,10.0,129.0,102.0,1216.0,0.0,
5.0,Luka DonÄiÄ,26.0,LAL,PG,35.0,35.0,1273.0,368.0,791.0,0.465,120.0,360.0,0.333,248.0,431.0,0.575,0.541,314.0,400.0,0.785,31.0,242.0,273.0,303.0,56.0,18.0,151.0,94.0,1170.0,5.0,
6.0,Deni Avdija,25.0,POR,SF,42.0,42.0,1464.0,333.0,707.0,0.471,96.0,270.0,0.356,237.0,437.0,0.542,0.539,331.0,410.0,0.807,44.0,254.0,298.0,288.0,35.0,25.0,162.0,115.0,1093.0,3.0,
7.0,Jalen Brunson,29.0,NYK,PG,39.0,38.0,1341.0,389.0,814.0,0.478,113.0,298.0,0.379,276.0,516.0,0.535,0.547,196.0,230.0,0.852,20.0,104.0,124.0,238.0,26.0,3.0,89.0,95.0,1087.0,0.0,
8.0,Kevin Durant,37.0,HOU,SF,41.0,41.0,1511.0,379.0,735.0,0.516,95.0,234.0,0.406,284.0,501.0,0.567,0.58,224.0,253.0,0.885,18.0,206.0,224.0,187.0,30.0,39.0,127.0,88.0,1077.0,0.0,
9.0,Keyonte George,22.0,UTA,PG,44.0,44.0,1514.0,336.0,732.0,0.459,116.0,303.0,0.383,220.0,429.0,0.513,0.538,284.0,314.0,0.904,21.0,153.0,174.0,293.0,47.0,13.0,150.0,103.0,1072.0,0.0,
10.0,Anthony Edwards,24.0,MIN,SG,36.0,36.0,1266.0,368.0,744.0,0.495,125.0,308.0,0.406,243.0,436.0,0.557,0.579,205.0,258.0,0.795,22.0,160.0,182.0,133.0,46.0,29.0,94.0,71.0,1066.0,0.0,
