Team,Odds,Unnamed: 2,W-L O/U,Result
Oklahoma City Thunder,240,,62.5,37-9 (under)
Denver Nuggets,550,,53.5,31-15 (under)
Cleveland Cavaliers,750,,56.5,26-20 (under)
New York Knicks,900,,53.5,26-18 (under)
Minnesota Timberwolves,1300,,49.5,27-18 (under)
Houston Rockets,1400,,52.5,27-16 (under)
Los Angeles Lakers,1600,,46.5,26-17 (under)
Los Angeles Clippers,1800,,49.5,20-24 (under)
Orlando Magic,1800,,51.5,23-20 (under)
Golden State Warriors,2500,,47.5,25-21 (under)
Detroit Pistons,3300,,46.5,32-11 (under)
Dallas Mavericks,3500,,41.5,19-26 (under)
Philadelphia 76ers,4000,,43.5,24-19 (under)
Atlanta Hawks,4000,,46.5,22-25 (under)
Milwaukee Bucks,5500,,43.5,18-26 (under)
Boston Celtics,6000,,41.5,28-16 (under)
San Antonio Spurs,6600,,44.5,31-14 (under)
Indiana Pacers,10000,,37.5,11-35 (under)
Toronto Raptors,10000,,39.5,28-19 (under)
Memphis Grizzlies,12500,,39.5,18-25 (under)
Miami Heat,20000,,37.5,23-22 (under)
New Orleans Pelicans,30000,,30.5,11-36 (under)
Phoenix Suns,50000,,30.5,27-18 (under)
Portland Trail Blazers,50000,,35.5,23-23 (under)
Sacramento Kings,50000,,35.5,12-34 (under)
Chicago Bulls,50000,,33.5,22-22 (under)
Charlotte Hornets,100000,,27.5,17-28 (under)
Brooklyn Nets,100000,,19.5,12-31 (under)
Utah Jazz,100000,,18.5,15-30 (under)
Washington Wizards,100000,,20.5,10-33 (under)
