Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unadjusted,Unadjusted,Unadjusted,Unadjusted,Adjusted,Adjusted,Adjusted,Adjusted
Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Oklahoma City Thunder,W,NW,37,9,0.804,13.24,120.1,107.05,13.05,12.44,119.92,107.63,12.29
2,Boston Celtics,E,A,28,16,0.636,6.86,121.91,114.74,7.16,5.9,121.73,115.56,6.16
3,Houston Rockets,W,SW,27,16,0.628,6.14,119.93,113.56,6.37,5.77,119.85,113.86,5.99
4,Detroit Pistons,E,C,32,11,0.744,6.95,116.2,109.32,6.88,5.9,115.56,109.7,5.86
5,San Antonio Spurs,W,SW,31,14,0.689,5.31,117.79,112.45,5.33,5.43,117.69,112.25,5.44
6,New York Knicks,E,A,26,18,0.591,4.16,120.23,115.89,4.34,3.63,120.43,116.66,3.77
7,Minnesota Timberwolves,W,NW,27,18,0.6,4.87,118.39,113.79,4.6,3.94,117.42,113.75,3.67
8,Denver Nuggets,W,NW,31,15,0.674,4.48,122.2,117.72,4.49,3.1,121.8,118.68,3.11
9,Golden State Warriors,W,P,25,21,0.543,2.7,116.65,113.73,2.93,2.72,116.81,113.87,2.94
10,Phoenix Suns,W,P,27,18,0.6,2.64,116.09,113.31,2.78,2.71,115.8,112.94,2.86
11,Cleveland Cavaliers,E,C,26,20,0.565,2.0,117.19,115.32,1.87,2.07,117.29,115.34,1.95
12,Miami Heat,E,SE,23,22,0.511,0.89,114.34,113.65,0.69,1.76,114.8,113.24,1.57
13,Toronto Raptors,E,A,28,19,0.596,2.09,115.03,113.12,1.91,1.4,114.61,113.36,1.25
14,Philadelphia 76ers,E,A,24,19,0.558,1.28,115.64,114.29,1.35,1.07,115.79,114.67,1.12
15,Orlando Magic,E,SE,23,20,0.535,0.28,115.25,115.13,0.12,0.32,114.91,114.72,0.19
16,Charlotte Hornets,E,SE,17,28,0.378,0.44,117.65,117.05,0.6,-0.08,117.26,117.24,0.02
17,Portland Trail Blazers,W,NW,23,23,0.5,-1.74,114.61,116.25,-1.64,-0.54,115.27,115.71,-0.45
18,Los Angeles Clippers,W,P,20,24,0.455,-1.2,116.62,117.75,-1.14,-0.73,116.9,117.53,-0.63
19,Los Angeles Lakers,W,P,26,17,0.605,-0.37,117.76,118.22,-0.46,-0.58,117.66,118.31,-0.65
20,Atlanta Hawks,E,SE,22,25,0.468,-1.28,114.3,115.48,-1.18,-0.83,114.44,115.19,-0.75
21,Memphis Grizzlies,W,SW,18,25,0.419,-1.09,113.4,114.43,-1.03,-1.11,113.32,114.38,-1.06
22,Dallas Mavericks,W,SW,19,26,0.422,-2.18,111.23,113.39,-2.16,-2.62,110.54,113.14,-2.59
23,Chicago Bulls,E,C,22,22,0.5,-1.95,115.54,117.53,-1.98,-2.67,115.11,117.83,-2.72
24,Milwaukee Bucks,E,C,18,26,0.409,-3.57,113.29,116.97,-3.68,-3.6,113.32,117.04,-3.71
25,New Orleans Pelicans,W,SW,11,36,0.234,-7.04,113.5,120.74,-7.24,-6.18,114.14,120.5,-6.37
26,Brooklyn Nets,E,A,12,31,0.279,-6.47,111.67,118.55,-6.88,-6.26,111.57,118.22,-6.66
27,Utah Jazz,W,NW,15,30,0.333,-8.29,115.39,123.55,-8.16,-6.8,116.46,123.12,-6.66
28,Indiana Pacers,E,C,11,35,0.239,-8.11,109.11,117.13,-8.02,-7.16,109.53,116.61,-7.08
29,Sacramento Kings,W,P,12,34,0.261,-9.91,110.44,120.3,-9.85,-8.38,111.04,119.35,-8.31
30,Washington Wizards,E,SE,10,33,0.233,-11.0,110.7,121.63,-10.93,-10.65,111.12,121.71,-10.59
