Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
1.0,Oklahoma City Thunder,25.2,37.0,9.0,38,8,13.24,-0.8,12.44,119.9,106.9,13.0,100.0,0.27,0.411,0.606,,0.567,10.9,21.0,0.222,,0.515,15.2,74.4,0.2,,Paycom Center,437188,18203
2.0,Boston Celtics,26.7,28.0,16.0,31,13,6.86,-0.97,5.9,121.9,114.7,7.2,95.6,0.211,0.467,0.587,,0.558,10.8,29.3,0.168,,0.528,12.2,73.7,0.211,,TD Garden,383120,19156
3.0,Detroit Pistons,25.9,32.0,11.0,30,13,6.95,-1.06,5.9,116.1,109.2,6.9,100.2,0.301,0.357,0.576,,0.541,13.6,30.9,0.224,,0.514,15.1,74.0,0.266,,Little Caesars Arena,450099,19532
4.0,Houston Rockets,26.7,27.0,16.0,29,14,6.14,-0.37,5.77,119.7,113.5,6.2,96.0,0.275,0.34,0.576,,0.542,13.3,36.7,0.208,,0.534,12.1,74.9,0.193,,Toyota Center,325055,18059
5.0,San Antonio Spurs,25.7,31.0,14.0,30,15,5.31,0.12,5.43,117.6,112.3,5.3,100.0,0.287,0.422,0.586,,0.547,12.0,26.0,0.228,,0.534,12.2,77.4,0.188,,Frost Bank Center,392803,18705
6.0,Minnesota Timberwolves,28.0,27.0,18.0,29,16,4.87,-0.93,3.94,118.4,113.6,4.8,100.6,0.291,0.426,0.596,,0.563,12.3,26.2,0.219,,0.532,12.9,74.9,0.216,,Target Center,381736,17352
7.0,Denver Nuggets,27.7,31.0,15.0,29,17,4.48,-1.37,3.1,122.2,117.7,4.5,97.9,0.287,0.404,0.615,,0.575,11.4,23.0,0.235,,0.54,10.8,73.5,0.201,,Ball Arena,396786,19839
8.0,New York Knicks,28.3,26.0,18.0,27,17,4.16,-0.53,3.63,120.1,115.9,4.2,98.2,0.246,0.436,0.586,,0.552,12.0,30.1,0.196,,0.548,12.5,76.2,0.215,,Madison Square Garden (IV),455254,19794
9.0,Phoenix Suns,27.3,27.0,18.0,26,19,2.64,0.06,2.71,115.9,113.2,2.7,98.5,0.233,0.443,0.576,,0.542,13.4,29.0,0.186,,0.54,15.0,71.7,0.224,,Mortgage Matchup Center,324349,17071
10.0,Golden State Warriors,29.3,25.0,21.0,27,19,2.7,0.03,2.72,116.5,113.9,2.6,99.8,0.249,0.5,0.591,,0.555,13.5,25.3,0.203,,0.542,13.8,73.2,0.196,,Chase Center,433536,18064
11.0,Toronto Raptors,24.7,28.0,19.0,27,20,2.09,-0.68,1.4,115.1,113.0,2.1,98.4,0.248,0.376,0.572,,0.538,12.2,26.2,0.194,,0.536,14.0,73.8,0.229,,Scotiabank Arena,429261,18664
12.0,Cleveland Cavaliers,26.6,26.0,20.0,26,20,2.0,0.07,2.07,117.2,115.2,2.0,101.2,0.253,0.452,0.582,,0.549,12.3,27.1,0.197,,0.543,13.5,74.0,0.219,,Rocket Arena,505232,19432
13.0,Philadelphia 76ers,25.5,24.0,19.0,23,20,1.28,-0.21,1.07,115.6,114.3,1.3,99.1,0.282,0.403,0.572,,0.528,12.2,27.4,0.23,,0.534,13.3,72.6,0.209,,Xfinity Mobile Arena,453457,18894
14.0,Miami Heat,26.6,23.0,22.0,24,21,0.89,0.88,1.76,114.4,113.5,0.9,104.1,0.258,0.389,0.573,,0.536,12.1,24.4,0.203,,0.539,13.5,74.0,0.192,,Kaseya Center,432660,19666
15.0,Charlotte Hornets,23.9,17.0,28.0,23,22,0.44,-0.52,-0.08,117.5,117.0,0.5,98.0,0.256,0.461,0.584,,0.545,13.5,29.3,0.208,,0.551,11.3,76.1,0.186,,Spectrum Center,366500,18325
16.0,Orlando Magic,24.6,23.0,20.0,22,21,0.28,0.04,0.32,115.1,114.9,0.2,99.7,0.311,0.367,0.572,,0.528,12.3,26.7,0.246,,0.547,13.1,75.1,0.22,,Kia Center,402365,18597
17.0,Los Angeles Lakers,27.6,26.0,17.0,21,22,-0.37,-0.21,-0.58,117.7,118.0,-0.3,98.6,0.324,0.406,0.606,,0.566,13.5,25.0,0.251,,0.564,13.1,74.4,0.203,,Crypto.com Arena,378208,18910
18.0,Memphis Grizzlies,25.5,18.0,25.0,20,23,-1.09,-0.02,-1.11,113.3,114.4,-1.1,101.5,0.26,0.42,0.569,,0.53,13.2,26.2,0.208,,0.541,12.6,74.7,0.194,,FedExForum,353296,15221
19.0,Los Angeles Clippers,30.9,20.0,24.0,20,24,-1.2,0.48,-0.73,116.3,117.5,-1.2,95.9,0.294,0.432,0.6,,0.553,13.9,23.9,0.249,,0.547,12.2,72.5,0.197,,Intuit Dome,368975,17570
20.0,Atlanta Hawks,24.8,22.0,25.0,22,25,-1.28,0.44,-0.83,114.2,115.5,-1.3,102.3,0.234,0.43,0.585,,0.554,12.9,22.2,0.181,,0.551,13.6,73.7,0.214,,State Farm Arena,344449,16402
21.0,Portland Trail Blazers,24.7,23.0,23.0,21,25,-1.74,1.2,-0.54,114.5,116.2,-1.7,100.9,0.293,0.462,0.569,,0.528,14.1,30.5,0.228,,0.542,13.1,72.1,0.224,,Moda Center,404933,16872
22.0,Chicago Bulls,25.9,22.0,22.0,19,25,-1.95,-0.71,-2.67,115.6,117.5,-1.9,101.5,0.241,0.434,0.588,,0.555,12.3,23.3,0.189,,0.547,10.9,75.8,0.194,,United Center,462225,20097
23.0,Dallas Mavericks,26.3,19.0,26.0,20,25,-2.18,-0.44,-2.62,111.1,113.2,-2.1,101.8,0.279,0.365,0.571,,0.537,13.3,22.4,0.209,,0.525,11.6,73.9,0.191,,American Airlines Center,480669,19227
24.0,Milwaukee Bucks,27.5,18.0,26.0,17,27,-3.57,-0.03,-3.6,113.3,116.9,-3.6,98.3,0.243,0.439,0.593,,0.567,13.5,20.1,0.178,,0.547,12.2,74.7,0.223,,Fiserv Forum,357717,17034
25.0,Brooklyn Nets,23.7,12.0,31.0,13,30,-6.47,0.21,-6.26,111.7,118.4,-6.7,96.3,0.273,0.478,0.566,,0.527,13.7,24.8,0.214,,0.563,12.6,73.7,0.204,,Barclays Center,400973,17434
26.0,New Orleans Pelicans,23.9,11.0,36.0,14,33,-7.04,0.86,-6.18,113.5,120.5,-7.0,100.5,0.279,0.348,0.564,,0.524,12.5,27.5,0.219,,0.567,12.8,71.6,0.202,,Smoothie King Center,429024,16501
27.0,Indiana Pacers,26.2,11.0,35.0,12,34,-8.11,0.95,-7.16,108.9,116.9,-8.0,100.6,0.268,0.41,0.55,,0.512,12.5,23.4,0.205,,0.547,12.3,74.2,0.242,,Gainbridge Fieldhouse,396363,16515
28.0,Utah Jazz,24.5,15.0,30.0,13,32,-8.29,1.49,-6.8,115.4,123.4,-8.0,101.8,0.289,0.418,0.583,,0.541,13.4,26.3,0.232,,0.58,11.5,73.9,0.223,,Delta Center,418278,18186
29.0,Sacramento Kings,29.3,12.0,34.0,11,35,-9.91,1.53,-8.38,110.3,120.2,-9.9,99.8,0.262,0.342,0.563,,0.527,12.7,23.3,0.201,,0.56,12.2,72.0,0.22,,Golden 1 Center,406273,16251
30.0,Washington Wizards,23.9,10.0,33.0,9,34,-11.0,0.35,-10.65,110.7,121.5,-10.8,100.9,0.246,0.397,0.563,,0.529,13.6,25.3,0.189,,0.55,11.1,71.0,0.222,,Capital One Arena,331669,15794
,League Average,26.3,,,22,22,0.0,0.0,0.0,115.6,115.6,,99.6,0.268,0.415,0.581,,0.544,12.8,26.1,0.21,,0.544,12.8,73.9,0.21,,,403415,18040
