Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Oklahoma City Thunder,46,11165,37.6,86.9,0.432,14.3,38.3,0.373,23.3,48.6,0.479,17.4,23.0,0.755,11.8,33.0,44.8,24.5,7.1,3.9,17.4,21.1,106.9
2,Detroit Pistons,43,10370,37.1,84.4,0.44,12.5,36.1,0.346,24.6,48.4,0.51,22.4,28.1,0.797,11.4,29.6,41.1,22.5,9.6,5.7,17.3,22.1,109.2
3,San Antonio Spurs,45,10825,41.1,89.4,0.46,13.3,36.8,0.361,27.8,52.7,0.529,16.8,21.6,0.778,10.2,32.6,42.7,26.4,7.7,4.4,13.7,21.1,112.3
4,Toronto Raptors,47,11380,40.2,86.9,0.462,12.8,37.2,0.344,27.4,49.7,0.551,19.9,24.8,0.803,11.3,32.6,43.9,24.6,8.1,5.4,15.9,19.6,113.0
5,Phoenix Suns,45,10825,40.7,86.9,0.468,12.4,35.6,0.35,28.2,51.3,0.55,19.4,24.7,0.787,12.1,31.8,43.9,25.0,8.5,4.5,17.2,19.6,113.2
6,Dallas Mavericks,45,10925,42.2,91.2,0.463,11.4,34.7,0.329,30.8,56.5,0.545,17.4,22.3,0.779,12.0,33.4,45.4,25.9,8.9,4.7,13.3,20.5,113.2
7,Houston Rockets,43,10495,41.7,90.0,0.463,12.7,36.3,0.351,29.0,53.8,0.539,17.3,23.0,0.755,11.3,28.3,39.6,25.1,9.2,4.8,13.8,21.5,113.5
8,Miami Heat,45,10825,41.4,89.4,0.464,13.5,38.6,0.351,27.9,50.8,0.549,17.1,21.1,0.811,11.5,34.0,45.5,26.0,8.0,5.0,15.4,19.3,113.5
9,Minnesota Timberwolves,45,10875,41.1,88.7,0.463,12.3,34.5,0.358,28.7,54.3,0.529,19.1,24.7,0.775,11.1,31.5,42.5,25.7,7.7,3.8,14.7,21.0,113.6
10,Golden State Warriors,46,11090,41.9,88.9,0.472,12.5,35.6,0.352,29.4,53.3,0.552,17.5,21.8,0.799,11.6,32.8,44.4,26.6,8.2,4.0,15.7,19.3,113.9
11,Philadelphia 76ers,43,10520,41.6,89.5,0.465,12.5,35.9,0.348,29.1,53.6,0.543,18.7,23.8,0.785,11.9,32.6,44.5,27.3,7.4,5.1,15.3,20.4,114.3
12,Memphis Grizzlies,43,10370,41.4,89.7,0.462,14.1,39.4,0.358,27.3,50.3,0.544,17.4,22.1,0.788,11.4,32.6,44.1,26.4,8.6,5.1,14.3,20.3,114.4
13,Boston Celtics,44,10610,40.4,90.6,0.446,14.8,40.9,0.362,25.6,49.7,0.515,19.1,24.0,0.796,12.0,31.9,43.9,26.7,6.1,4.4,14.1,19.6,114.7
14,Orlando Magic,43,10395,41.8,87.4,0.478,12.0,33.0,0.363,29.8,54.4,0.548,19.2,24.6,0.782,10.8,32.3,43.1,25.2,7.7,5.5,14.9,22.2,114.9
15,Cleveland Cavaliers,46,11090,41.0,88.3,0.465,13.9,36.4,0.381,27.2,51.8,0.524,19.3,24.1,0.801,11.3,32.5,43.8,26.7,8.6,4.4,15.4,20.1,115.2
16,Atlanta Hawks,47,11330,41.8,87.7,0.477,13.0,36.5,0.357,28.8,51.3,0.562,18.8,23.6,0.799,11.2,33.9,45.1,26.8,8.8,4.7,15.5,18.1,115.5
17,New York Knicks,44,10560,41.0,88.4,0.465,14.8,39.8,0.373,26.2,48.6,0.54,19.0,24.4,0.778,10.4,32.0,42.4,25.5,7.3,4.7,14.2,20.0,115.9
18,Portland Trail Blazers,46,11090,42.0,88.8,0.473,12.3,35.4,0.348,29.7,53.5,0.555,19.9,24.8,0.801,12.1,30.9,43.0,26.5,10.4,6.2,15.1,22.1,116.2
19,Indiana Pacers,46,11090,42.3,87.5,0.483,11.2,32.8,0.341,31.1,54.7,0.569,21.2,27.7,0.766,11.0,35.6,46.6,24.8,7.4,4.6,14.0,20.7,116.9
20,Milwaukee Bucks,44,10610,41.5,88.8,0.467,14.1,38.6,0.366,27.4,50.1,0.546,19.8,25.5,0.776,11.0,34.2,45.2,27.4,8.5,4.0,13.9,18.9,116.9
21,Charlotte Hornets,45,10875,43.3,90.8,0.477,13.5,36.5,0.369,29.9,54.3,0.55,16.9,21.1,0.801,10.6,30.0,40.6,27.8,8.3,4.4,12.8,21.2,117.0
22,Los Angeles Clippers,44,10635,42.8,91.1,0.47,14.0,38.3,0.367,28.8,52.8,0.544,17.9,22.4,0.799,12.1,31.6,43.7,27.1,9.4,5.0,14.0,20.5,117.5
23,Chicago Bulls,44,10610,43.2,91.2,0.473,13.4,36.5,0.368,29.8,54.7,0.544,17.7,22.7,0.782,10.9,33.2,44.1,27.2,8.3,5.5,12.4,18.6,117.5
24,Denver Nuggets,46,11140,43.0,91.8,0.468,13.2,37.8,0.35,29.7,54.0,0.551,18.5,24.0,0.768,12.0,31.8,43.8,27.1,7.6,4.7,12.4,21.4,117.7
25,Los Angeles Lakers,43,10320,43.1,88.7,0.486,13.8,37.1,0.372,29.4,51.6,0.569,18.0,22.6,0.794,10.9,30.3,41.2,27.9,9.0,3.7,14.9,22.1,118.0
26,Brooklyn Nets,43,10395,43.5,89.0,0.488,13.3,34.8,0.381,30.2,54.2,0.557,18.2,23.0,0.789,10.8,34.0,44.7,28.8,8.8,5.0,14.3,20.7,118.4
27,Sacramento Kings,46,11115,44.0,89.8,0.49,12.6,35.9,0.35,31.4,53.9,0.582,19.7,25.3,0.779,11.9,33.6,45.5,27.2,8.5,4.9,14.1,18.6,120.2
28,New Orleans Pelicans,47,11380,43.8,90.1,0.486,14.7,40.6,0.361,29.1,49.5,0.588,18.2,23.3,0.783,12.1,32.5,44.6,28.5,8.0,6.0,14.7,20.4,120.5
29,Washington Wizards,43,10370,43.7,92.0,0.475,13.8,38.0,0.363,29.9,53.9,0.554,20.4,25.6,0.797,13.0,33.7,46.8,28.3,9.6,5.6,12.9,17.3,121.5
30,Utah Jazz,45,10950,44.1,89.3,0.494,15.2,40.4,0.377,28.9,48.8,0.592,19.9,25.5,0.781,11.0,32.4,43.5,29.7,8.9,5.8,13.0,20.4,123.4
