Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets,46,11140,43.7,88.2,0.496,14.0,35.6,0.395,29.7,52.6,0.564,20.7,25.3,0.818,9.5,33.4,42.9,28.5,7.0,4.1,12.7,19.3,122.2
2,Boston Celtics,44,10610,44.7,95.0,0.471,16.4,44.4,0.37,28.3,50.6,0.56,16.0,20.0,0.797,13.2,33.7,46.8,24.8,8.2,5.5,12.6,21.5,121.9
3,New York Knicks,44,10560,43.4,92.4,0.47,15.2,40.3,0.377,28.2,52.1,0.541,18.1,22.8,0.795,13.8,33.3,47.0,27.1,8.2,4.4,14.0,21.0,120.1
4,Oklahoma City Thunder,46,11165,43.6,88.4,0.493,13.1,36.4,0.361,30.4,52.1,0.584,19.7,23.8,0.825,8.8,34.4,43.2,25.3,9.9,5.8,12.0,20.0,119.9
5,Houston Rockets,43,10495,44.4,92.7,0.479,11.7,31.5,0.372,32.7,61.2,0.534,19.2,25.5,0.754,16.4,33.6,50.0,25.5,8.9,5.7,16.0,19.5,119.7
6,Minnesota Timberwolves,45,10875,42.6,88.1,0.484,14.0,37.5,0.372,28.6,50.6,0.567,19.3,25.6,0.753,11.2,33.0,44.1,26.5,8.4,5.4,13.9,21.3,118.4
7,Los Angeles Lakers,43,10320,42.1,85.0,0.495,12.0,34.6,0.348,30.1,50.5,0.596,21.4,27.5,0.776,10.1,31.7,41.8,25.3,8.2,4.1,15.2,19.8,117.7
8,San Antonio Spurs,45,10825,42.1,89.1,0.473,13.2,37.6,0.35,28.9,51.5,0.562,20.3,25.6,0.793,11.5,34.8,46.2,26.0,7.8,4.8,13.7,19.3,117.6
9,Charlotte Hornets,45,10875,41.6,90.4,0.46,15.4,41.7,0.368,26.3,48.8,0.539,18.8,23.2,0.813,12.4,33.8,46.2,26.9,6.9,4.7,15.7,19.7,117.5
10,Cleveland Cavaliers,46,11090,42.4,90.5,0.469,14.5,40.9,0.354,27.9,49.6,0.563,17.9,22.9,0.781,12.1,32.2,44.2,27.8,8.5,5.1,14.2,20.2,117.2
11,Golden State Warriors,46,11090,41.1,88.8,0.463,16.3,44.4,0.367,24.8,44.4,0.56,18.0,22.1,0.815,11.1,31.6,42.7,28.7,9.5,4.4,15.4,20.0,116.5
12,Los Angeles Clippers,44,10635,40.7,85.9,0.474,13.5,37.1,0.364,27.2,48.8,0.558,21.4,25.2,0.847,9.9,32.0,41.9,24.3,9.0,4.9,15.7,19.6,116.3
13,Detroit Pistons,43,10370,42.5,89.0,0.478,11.1,31.8,0.35,31.4,57.2,0.549,20.0,26.8,0.745,13.2,32.5,45.7,26.4,10.4,6.6,15.9,22.5,116.1
14,Phoenix Suns,45,10825,42.1,91.2,0.461,14.8,40.5,0.365,27.3,50.8,0.538,17.0,21.2,0.801,13.0,30.7,43.7,25.6,10.4,4.1,15.6,21.7,115.9
15,Chicago Bulls,44,10610,42.3,88.9,0.476,14.1,38.6,0.366,28.2,50.3,0.56,16.8,21.4,0.785,10.1,34.3,44.4,29.3,7.4,4.9,13.9,18.4,115.6
16,Philadelphia 76ers,43,10520,41.0,89.9,0.456,12.8,36.2,0.355,28.2,53.7,0.525,20.7,25.4,0.816,12.3,31.4,43.7,24.5,9.0,6.0,14.0,20.3,115.6
17,Utah Jazz,45,10950,41.0,87.8,0.467,12.9,36.8,0.351,28.1,51.1,0.551,20.4,25.4,0.804,11.6,31.3,42.9,29.2,7.5,3.2,15.3,21.2,115.4
18,Toronto Raptors,47,11380,42.9,90.7,0.473,11.7,34.1,0.343,31.2,56.6,0.552,17.6,22.5,0.781,11.6,31.8,43.4,29.9,8.5,4.6,14.0,21.3,115.1
19,Orlando Magic,43,10395,41.2,88.5,0.465,11.1,32.5,0.34,30.1,56.0,0.538,21.7,27.5,0.79,11.8,32.5,44.2,26.2,8.1,5.1,14.1,21.1,115.1
20,Portland Trail Blazers,46,11090,40.1,89.2,0.45,13.9,41.2,0.338,26.2,48.0,0.546,20.3,26.1,0.779,13.5,31.2,44.7,24.1,8.0,4.7,16.6,20.4,114.5
21,Miami Heat,45,10825,41.7,89.7,0.465,12.8,34.9,0.365,29.0,54.8,0.529,18.2,23.1,0.786,11.0,32.7,43.6,27.4,8.7,4.1,13.7,18.0,114.4
22,Atlanta Hawks,47,11330,42.0,88.6,0.475,14.1,38.1,0.37,27.9,50.5,0.553,16.1,20.8,0.774,9.6,31.4,41.0,30.1,9.1,4.6,14.4,19.5,114.2
23,New Orleans Pelicans,47,11380,41.6,89.6,0.464,10.6,31.2,0.341,31.0,58.4,0.53,19.6,25.0,0.786,12.3,30.6,42.9,24.5,8.9,4.4,14.4,19.7,113.5
24,Milwaukee Bucks,44,10610,41.5,86.3,0.481,14.8,37.9,0.392,26.7,48.4,0.551,15.4,20.9,0.734,8.6,32.5,41.1,26.6,7.8,4.2,14.9,20.9,113.3
25,Memphis Grizzlies,43,10370,40.8,89.4,0.456,13.2,37.6,0.35,27.6,51.8,0.533,18.6,23.2,0.8,11.6,33.7,45.3,28.5,7.6,5.1,15.2,19.8,113.3
26,Brooklyn Nets,43,10395,39.1,88.0,0.444,14.6,42.1,0.347,24.5,45.9,0.534,18.8,24.0,0.785,11.2,30.1,41.3,26.1,7.8,4.6,15.7,20.6,111.7
27,Dallas Mavericks,45,10925,41.1,86.6,0.474,10.9,31.6,0.344,30.2,55.1,0.548,18.1,24.2,0.749,9.7,34.0,43.6,24.8,7.5,5.5,14.9,18.5,111.1
