Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Oklahoma City Thunder,46,242.7,38.0,87.9,0.432,14.4,38.7,0.373,23.6,49.2,0.479,17.6,23.3,0.755,12.0,33.4,45.3,24.8,7.2,3.9,17.6,21.3,108.0
2.0,Detroit Pistons,43,241.2,37.4,85.0,0.44,12.6,36.3,0.346,24.8,48.7,0.51,22.6,28.3,0.797,11.5,29.8,41.3,22.7,9.7,5.7,17.4,22.2,110.0
3.0,Boston Celtics,44,241.1,38.8,87.0,0.446,14.2,39.3,0.362,24.6,47.8,0.515,18.3,23.0,0.796,11.5,30.6,42.2,25.7,5.8,4.3,13.5,18.8,110.2
4.0,Houston Rockets,43,244.1,40.7,87.9,0.463,12.4,35.4,0.351,28.3,52.5,0.539,16.9,22.4,0.755,11.0,27.7,38.7,24.5,9.0,4.7,13.5,21.0,110.8
5.0,Phoenix Suns,45,240.6,40.2,85.8,0.468,12.3,35.1,0.35,27.9,50.7,0.55,19.2,24.4,0.787,12.0,31.4,43.4,24.7,8.4,4.5,17.0,19.4,111.8
6.0,Toronto Raptors,47,242.1,39.9,86.3,0.462,12.7,36.9,0.344,27.2,49.4,0.551,19.7,24.6,0.803,11.2,32.4,43.6,24.4,8.0,5.4,15.8,19.5,112.2
7.0,San Antonio Spurs,45,240.6,41.2,89.6,0.46,13.3,36.8,0.361,27.9,52.8,0.529,16.8,21.6,0.778,10.2,32.6,42.8,26.5,7.7,4.4,13.8,21.1,112.6
8.0,Los Angeles Clippers,44,241.7,41.3,88.0,0.47,13.6,37.0,0.367,27.8,51.0,0.544,17.3,21.6,0.799,11.7,30.5,42.3,26.2,9.1,4.8,13.5,19.8,113.5
9.0,New York Knicks,44,240.0,40.3,86.8,0.465,14.6,39.1,0.373,25.7,47.7,0.54,18.6,23.9,0.778,10.2,31.4,41.6,25.0,7.2,4.6,14.0,19.6,113.8
10.0,Golden State Warriors,46,241.1,42.0,89.1,0.472,12.6,35.7,0.352,29.5,53.4,0.552,17.5,21.9,0.799,11.6,32.9,44.5,26.6,8.2,4.0,15.8,19.3,114.2
11.0,Brooklyn Nets,43,241.7,42.2,86.3,0.488,12.9,33.7,0.381,29.3,52.6,0.557,17.6,22.3,0.789,10.4,32.9,43.4,27.9,8.5,4.9,13.8,20.1,114.8
12.0,Minnesota Timberwolves,45,241.7,41.6,89.9,0.463,12.5,34.9,0.358,29.1,55.0,0.529,19.4,25.0,0.775,11.2,31.9,43.1,26.0,7.8,3.9,14.9,21.3,115.1
13.0,Orlando Magic,43,241.7,42.0,87.8,0.478,12.0,33.2,0.363,30.0,54.7,0.548,19.3,24.7,0.782,10.8,32.4,43.3,25.3,7.8,5.5,14.9,22.3,115.4
14.0,Philadelphia 76ers,43,244.7,42.0,90.4,0.465,12.6,36.3,0.348,29.4,54.2,0.543,18.9,24.0,0.785,12.0,33.0,44.9,27.6,7.4,5.2,15.5,20.7,115.5
15.0,Charlotte Hornets,45,241.7,42.8,89.6,0.477,13.3,36.0,0.369,29.5,53.6,0.55,16.7,20.8,0.801,10.4,29.6,40.0,27.4,8.2,4.4,12.6,20.9,115.5
16.0,Milwaukee Bucks,44,241.1,41.0,87.7,0.467,14.0,38.2,0.366,27.0,49.5,0.546,19.5,25.2,0.776,10.9,33.8,44.7,27.0,8.4,4.0,13.8,18.7,115.5
