Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Oklahoma City Thunder,46,242.7,44.0,89.4,0.493,13.3,36.8,0.361,30.8,52.6,0.584,19.9,24.1,0.825,8.9,34.8,43.7,25.5,10.0,5.9,12.2,20.3,121.3
2.0,Denver Nuggets,46,242.2,43.2,87.1,0.496,13.9,35.2,0.395,29.3,51.9,0.564,20.4,25.0,0.818,9.4,33.0,42.3,28.1,6.9,4.0,12.6,19.1,120.7
3.0,Minnesota Timberwolves,45,241.7,43.2,89.2,0.484,14.1,38.0,0.372,29.0,51.2,0.567,19.5,26.0,0.753,11.3,33.4,44.7,26.8,8.5,5.5,14.1,21.6,120.0
4.0,Miami Heat,45,240.6,43.5,93.6,0.465,13.3,36.4,0.365,30.2,57.2,0.529,19.0,24.1,0.786,11.4,34.1,45.5,28.6,9.0,4.3,14.3,18.8,119.3
5.0,Cleveland Cavaliers,46,241.1,43.1,92.0,0.469,14.7,41.6,0.354,28.4,50.4,0.563,18.2,23.3,0.781,12.3,32.7,45.0,28.3,8.7,5.2,14.4,20.5,119.2
6.0,Utah Jazz,45,243.3,42.4,90.6,0.467,13.3,37.9,0.351,29.0,52.7,0.551,21.1,26.2,0.804,11.9,32.3,44.2,30.2,7.7,3.3,15.8,21.8,119.1
7.0,Chicago Bulls,44,241.1,43.2,90.8,0.476,14.4,39.4,0.366,28.8,51.4,0.56,17.2,21.9,0.785,10.3,35.0,45.3,29.9,7.6,5.0,14.1,18.8,118.0
8.0,San Antonio Spurs,45,240.6,42.2,89.2,0.473,13.2,37.7,0.35,29.0,51.6,0.562,20.3,25.6,0.793,11.5,34.8,46.3,26.0,7.8,4.8,13.7,19.3,117.9
9.0,New York Knicks,44,240.0,42.6,90.8,0.47,14.9,39.6,0.377,27.7,51.2,0.541,17.8,22.4,0.795,13.5,32.7,46.2,26.6,8.1,4.3,13.7,20.6,117.9
10.0,Atlanta Hawks,47,241.1,43.2,91.1,0.475,14.5,39.2,0.37,28.7,51.9,0.553,16.5,21.3,0.774,9.9,32.2,42.1,31.0,9.4,4.7,14.8,20.0,117.4
