Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Detroit Pistons,43,10370,1608,3655,0.44,541,1562,0.346,1067,2093,0.51,971,1218,0.797,495,1282,1777,975,415,245,747,955,4728
2.0,Houston Rockets,43,10495,1751,3781,0.463,534,1523,0.351,1217,2258,0.539,728,964,0.755,473,1189,1662,1054,387,203,581,902,4764
3.0,Boston Celtics,44,10610,1708,3828,0.446,626,1727,0.362,1082,2101,0.515,807,1014,0.796,508,1347,1855,1130,256,187,596,827,4849
4.0,Brooklyn Nets,43,10395,1813,3713,0.488,553,1451,0.381,1260,2262,0.557,758,961,0.789,449,1416,1865,1200,365,209,595,863,4937
5.0,Orlando Magic,43,10395,1806,3777,0.478,518,1427,0.363,1288,2350,0.548,831,1062,0.782,466,1395,1861,1090,334,238,642,959,4961
6.0,Philadelphia 76ers,43,10520,1807,3889,0.465,542,1559,0.348,1265,2330,0.543,812,1034,0.785,515,1417,1932,1188,320,222,667,888,4968
7.0,Oklahoma City Thunder,46,11165,1748,4042,0.432,664,1780,0.373,1084,2262,0.479,809,1071,0.755,550,1535,2085,1140,330,180,811,980,4969
8.0,Los Angeles Clippers,44,10635,1819,3871,0.47,597,1626,0.367,1222,2245,0.544,761,952,0.799,515,1344,1859,1153,399,213,596,873,4996
9.0,Los Angeles Lakers,43,10320,1829,3761,0.486,584,1572,0.372,1245,2189,0.569,762,960,0.794,462,1283,1745,1181,382,158,633,939,5004
10.0,New York Knicks,44,10560,1773,3817,0.465,641,1719,0.373,1132,2098,0.54,819,1053,0.778,448,1383,1831,1100,316,203,614,862,5006
11.0,Memphis Grizzlies,43,10370,1817,3931,0.462,619,1727,0.358,1198,2204,0.544,762,967,0.788,501,1431,1932,1158,377,222,628,892,5015
12.0,Phoenix Suns,45,10825,1807,3861,0.468,553,1581,0.35,1254,2280,0.55,863,1097,0.787,539,1412,1951,1110,377,201,764,872,5030
13.0,San Antonio Spurs,45,10825,1854,4032,0.46,599,1658,0.361,1255,2374,0.529,758,974,0.778,458,1468,1926,1192,346,200,619,951,5065
14.0,Milwaukee Bucks,44,10610,1803,3857,0.467,614,1679,0.366,1189,2178,0.546,860,1108,0.776,478,1487,1965,1189,368,174,605,821,5080
15.0,Minnesota Timberwolves,45,10875,1872,4045,0.463,563,1571,0.358,1309,2474,0.529,873,1126,0.775,505,1434,1939,1170,352,174,671,957,5180
16.0,Charlotte Hornets,45,10875,1924,4032,0.477,598,1619,0.369,1326,2413,0.55,751,937,0.801,470,1332,1802,1234,368,197,568,940,5197
17.0,Dallas Mavericks,45,10925,1955,4224,0.463,529,1608,0.329,1426,2616,0.545,806,1035,0.779,555,1548,2103,1200,410,218,615,951,5245
18.0,Golden State Warriors,46,11090,1934,4100,0.472,578,1643,0.352,1356,2457,0.552,805,1007,0.799,534,1514,2048,1225,378,185,726,888,5251
19.0,Toronto Raptors,47,11380,1874,4056,0.462,596,1735,0.344,1278,2321,0.551,928,1156,0.803,526,1522,2048,1149,376,252,744,916,5272
20.0,Chicago Bulls,44,10610,1939,4096,0.473,603,1640,0.368,1336,2456,0.544,795,1017,0.782,491,1490,1981,1220,374,245,556,834,5276
21.0,Washington Wizards,43,10370,1904,4008,0.475,601,1657,0.363,1303,2351,0.554,888,1114,0.797,568,1470,2038,1235,419,244,562,752,5297
22.0,Miami Heat,45,10825,1945,4196,0.464,635,1811,0.351,1310,2385,0.549,805,992,0.811,540,1598,2138,1222,377,237,721,908,5330
23.0,Denver Nuggets,46,11140,1952,4168,0.468,601,1716,0.35,1351,2452,0.551,839,1092,0.768,547,1444,1991,1233,347,215,561,973,5344
24.0,Cleveland Cavaliers,46,11090,1919,4128,0.465,648,1703,0.381,1271,2425,0.524,903,1127,0.801,529,1520,2049,1251,401,205,719,940,5389
25.0,Portland Trail Blazers,46,11090,1959,4144,0.473,574,1650,0.348,1385,2494,0.555,928,1159,0.801,563,1441,2004,1235,485,289,702,1033,5420
26.0,Indiana Pacers,46,11090,1966,4070,0.483,520,1527,0.341,1446,2543,0.569,985,1286,0.766,513,1654,2167,1151,346,213,651,964,5437
27.0,Sacramento Kings,46,11115,2032,4149,0.49,581,1658,0.35,1451,2491,0.582,911,1169,0.779,548,1555,2103,1259,395,225,650,860,5556
28.0,Atlanta Hawks,47,11330,2021,4239,0.477,629,1762,0.357,1392,2477,0.562,909,1138,0.799,541,1636,2177,1295,426,226,749,873,5580
29.0,Utah Jazz,45,10950,2049,4145,0.494,708,1878,0.377,1341,2267,0.592,926,1185,0.781,512,1506,2018,1380,412,271,605,947,5732
30.0,New Orleans Pelicans,47,11380,2086,4294,0.486,699,1934,0.361,1387,2360,0.588,868,1109,0.783,578,1548,2126,1360,379,285,702,974,5739
,League Average,45,10808,1876,3997,0.469,595,1657,0.359,1281,2340,0.547,841,1069,0.786,513,1453,1966,1189,374,218,653,910,5187
