Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Oklahoma City Thunder,46,11165,2026,4113,0.493,611,1692,0.361,1415,2421,0.584,915,1109,0.825,409,1602,2011,1175,462,270,560,932,5578
2.0,Denver Nuggets,46,11140,1986,4006,0.496,638,1617,0.395,1348,2389,0.564,940,1149,0.818,432,1516,1948,1294,318,186,579,878,5550
3.0,Atlanta Hawks,47,11330,2031,4280,0.475,682,1842,0.37,1349,2438,0.553,776,1003,0.774,466,1515,1981,1456,441,220,697,942,5520
4.0,Cleveland Cavaliers,46,11090,1984,4234,0.469,677,1914,0.354,1307,2320,0.563,836,1070,0.781,565,1504,2069,1302,398,239,662,943,5481
5.0,New Orleans Pelicans,47,11380,1983,4270,0.464,507,1486,0.341,1476,2784,0.53,935,1190,0.786,586,1459,2045,1165,424,210,686,938,5408
6.0,Minnesota Timberwolves,45,10875,1942,4015,0.484,636,1710,0.372,1306,2305,0.567,879,1168,0.753,509,1503,2012,1208,384,248,635,970,5399
7.0,Golden State Warriors,46,11090,1897,4096,0.463,751,2049,0.367,1146,2047,0.56,830,1018,0.815,512,1459,1971,1323,440,205,708,922,5375
8.0,Toronto Raptors,47,11380,2003,4232,0.473,545,1590,0.343,1458,2642,0.552,819,1049,0.781,539,1485,2024,1393,395,215,652,993,5370
9.0,Miami Heat,45,10825,1959,4211,0.465,599,1639,0.365,1360,2572,0.529,853,1085,0.786,515,1534,2049,1287,407,192,644,847,5370
10.0,Utah Jazz,45,10950,1906,4079,0.467,599,1707,0.351,1307,2372,0.551,948,1179,0.804,537,1453,1990,1358,346,150,709,983,5359
11.0,Portland Trail Blazers,46,11090,1871,4159,0.45,649,1920,0.338,1222,2239,0.546,949,1218,0.779,632,1453,2085,1123,371,218,772,950,5340
12.0,San Antonio Spurs,45,10825,1898,4016,0.473,594,1695,0.35,1304,2321,0.562,914,1152,0.793,517,1567,2084,1170,353,216,617,870,5304
13.0,Charlotte Hornets,45,10875,1849,4016,0.46,682,1851,0.368,1167,2165,0.539,837,1030,0.813,551,1499,2050,1194,305,208,695,874,5217
14.0,Chicago Bulls,44,10610,1900,3993,0.476,635,1733,0.366,1265,2260,0.56,755,962,0.785,453,1539,1992,1314,333,222,622,826,5190
15.0,New York Knicks,44,10560,1875,3993,0.47,657,1742,0.377,1218,2251,0.541,782,984,0.795,595,1437,2032,1172,355,188,603,906,5189
16.0,Boston Celtics,44,10610,1891,4014,0.471,694,1875,0.37,1197,2139,0.56,675,847,0.797,557,1423,1980,1050,345,234,532,908,5151
17.0,Phoenix Suns,45,10825,1869,4053,0.461,656,1797,0.365,1213,2256,0.538,755,943,0.801,577,1364,1941,1136,464,184,691,966,5149
18.0,Dallas Mavericks,45,10925,1902,4013,0.474,504,1463,0.344,1398,2550,0.548,839,1120,0.749,447,1574,2021,1147,346,255,689,856,5147
19.0,Sacramento Kings,46,11115,1898,4064,0.467,488,1388,0.352,1410,2676,0.527,816,1065,0.766,473,1412,1885,1162,387,203,662,941,5100
20.0,Indiana Pacers,46,11090,1822,4120,0.442,577,1689,0.342,1245,2431,0.512,843,1103,0.764,504,1473,1977,1166,336,227,659,1030,5064
21.0,Houston Rockets,43,10495,1864,3892,0.479,492,1324,0.372,1372,2568,0.534,808,1071,0.754,688,1411,2099,1070,373,241,671,818,5028
22.0,Detroit Pistons,43,10370,1841,3851,0.478,481,1375,0.35,1360,2476,0.549,864,1159,0.745,572,1408,1980,1143,449,287,687,976,5027
23.0,Philadelphia 76ers,43,10520,1783,3906,0.456,558,1574,0.355,1225,2332,0.525,899,1102,0.816,535,1366,1901,1064,390,261,608,881,5023
24.0,Los Angeles Lakers,43,10320,1786,3605,0.495,510,1465,0.348,1276,2140,0.596,906,1167,0.776,428,1343,1771,1071,348,174,645,840,4988
25.0,Orlando Magic,43,10395,1778,3822,0.465,478,1404,0.34,1300,2418,0.538,939,1188,0.79,508,1403,1911,1133,352,222,607,910,4973
26.0,Memphis Grizzlies,43,10370,1788,3919,0.456,577,1647,0.35,1211,2272,0.533,815,1019,0.8,508,1479,1987,1250,331,224,665,866,4968
27.0,Los Angeles Clippers,44,10635,1730,3650,0.474,574,1577,0.364,1156,2073,0.558,909,1073,0.847,422,1359,1781,1033,383,208,668,835,4943
28.0,Milwaukee Bucks,44,10610,1805,3749,0.481,645,1645,0.392,1160,2104,0.551,668,910,0.734,375,1413,1788,1154,341,181,648,909,4923
29.0,Washington Wizards,43,10370,1775,3866,0.459,543,1536,0.354,1232,2330,0.529,731,950,0.769,497,1392,1889,1077,314,258,673,923,4824
30.0,Brooklyn Nets,43,10395,1632,3672,0.444,609,1757,0.347,1023,1915,0.534,786,1001,0.785,468,1256,1724,1089,326,190,654,861,4659
,League Average,45,10808,1876,3997,0.469,595,1657,0.359,1281,2340,0.547,841,1069,0.786,513,1453,1966,1189,374,218,653,910,5187
